"country","coef","value","date","step","rank"
"AO","ged_count_sb",5.17365345949074e-17,"2014-01-31",3,NA
"AO","ged_count_sb",3.4548761668276e-17,"2014-01-31",4,NA
"AO","wdi_gc_dod_totl_gd_zs",2.35866593161791e-18,"2014-01-31",6,NA
"AO","wdi_gc_dod_totl_gd_zs",4.78083554173752e-18,"2014-01-31",7,NA
"AO","ged_count_sb",1.65915632633889e-17,"2014-02-28",2,NA
"AO","ged_count_sb",1.72315281024236e-17,"2014-02-28",3,NA
"AO","ged_count_sb",3.45195851388604e-17,"2014-02-28",4,NA
"AO","ged_count_sb",3.46025798571143e-17,"2014-02-28",5,NA
"AO","ged_count_sb",1.73305006022494e-17,"2014-02-28",6,NA
"AO","wdi_gc_dod_totl_gd_zs",2.36201784657375e-18,"2014-02-28",7,NA
"AO","ged_best_os",7.0787910073095e-17,"2014-03-31",1,NA
"AO","ged_count_sb",5.17365345949074e-17,"2014-03-31",4,NA
"AO","ged_count_sb",5.20367859834359e-17,"2014-03-31",7,NA
"AO","ged_count_sb",1.6564920007046e-17,"2014-04-30",2,NA
"AO","ged_count_sb",3.44088351310489e-17,"2014-04-30",3,NA
"AO","ged_count_sb",1.72315281024236e-17,"2014-04-30",4,NA
"AO","ged_count_sb",3.46025798571143e-17,"2014-04-30",6,NA
"AO","ged_count_sb",1.73305006022494e-17,"2014-04-30",7,NA
"AO","ged_best_os",7.08132939070874e-17,"2014-05-31",1,NA
"AO","ged_count_sb",1.65519967841773e-17,"2014-05-31",2,NA
"AO","ged_count_sb",5.15738193910417e-17,"2014-05-31",3,NA
"AO","ged_count_sb",3.44356661227225e-17,"2014-05-31",4,NA
"AO","ged_count_sb",1.72597669682768e-17,"2014-05-31",5,NA
"AO","ged_count_sb",3.4574306042685e-17,"2014-05-31",6,NA
"AO","ged_count_sb",1.65393286628655e-17,"2014-06-30",2,NA
"AO","ged_count_sb",1.71783916116289e-17,"2014-06-30",3,NA
"AO","ged_count_sb",3.44088351310489e-17,"2014-06-30",4,NA
"AO","ged_count_sb",1.72464994071025e-17,"2014-06-30",5,NA
"AO","ged_count_sb",1.73012899285572e-17,"2014-06-30",7,NA
"AO","ged_count_sb",3.30538163052892e-17,"2014-07-31",2,NA
"AO","ged_count_sb",3.43315303772302e-17,"2014-07-31",3,NA
"AO","ged_count_sb",3.43825462606945e-17,"2014-07-31",4,NA
"AO","ged_count_sb",3.43067726961577e-17,"2014-08-31",3,NA
"AO","ged_count_sb",1.03324631924495e-16,"2014-08-31",5,NA
"AO","ged_count_sb",3.45466303378111e-17,"2014-08-31",7,NA
"AO","ged_best_os",7.08615685341464e-17,"2014-09-30",1,NA
"AO","ged_count_sb",3.29799097838887e-17,"2014-09-30",2,NA
"AO","ged_count_sb",1.72082958824437e-17,"2014-09-30",5,NA
"AO","ged_count_sb",1.72597669682768e-17,"2014-09-30",7,NA
"AO","ged_count_sb",1.6465708119444e-17,"2014-10-31",2,NA
"AO","ged_count_sb",5.13325975475905e-17,"2014-10-31",3,NA
"AO","ged_count_sb",1.71533863480789e-17,"2014-10-31",4,NA
"AO","ged_count_sb",3.43921357792306e-17,"2014-10-31",5,NA
"AO","ged_count_sb",3.44415439748317e-17,"2014-10-31",6,NA
"AO","ged_count_sb",3.41623155447903e-17,"2014-11-30",3,NA
"AO","ged_count_sb",3.42467661867642e-17,"2014-11-30",4,NA
"AO","ged_count_sb",3.43681613429972e-17,"2014-11-30",5,NA
"AO","ged_count_sb",1.72335038435455e-17,"2014-11-30",7,NA
"AO","ged_count_sb",1.70940476951794e-17,"2014-12-31",4,NA
"AO","ged_count_sb",3.43921357792306e-17,"2014-12-31",6,NA
"AO","ged_count_sb",3.44415439748317e-17,"2014-12-31",7,NA
"AO","ged_best_os",7.09067825639363e-17,"2015-01-31",1,NA
