"country","coef","value","date","step","rank"
"AO","ged_count_sb",2.84887608158919e-17,"2014-01-31",3,NA
"AO","ged_count_sb",1.4310368873708e-17,"2014-01-31",5,NA
"AO","wdi_gc_dod_totl_gd_zs",3.89291347347881e-18,"2014-01-31",6,NA
"AO","ged_best_os",2.5807169179312e-17,"2014-02-28",1,NA
"AO","ged_count_sb",2.84455463535129e-17,"2014-02-28",3,NA
"AO","ged_best_os",2.58075024164908e-17,"2014-03-31",1,NA
"AO","ged_count_sb",2.76547850339596e-17,"2014-03-31",2,NA
"AO","ged_count_sb",2.84887608158919e-17,"2014-03-31",4,NA
"AO","ged_count_sb",1.4310368873708e-17,"2014-03-31",6,NA
"AO","ged_count_sb",2.87146619157974e-17,"2014-03-31",7,NA
"AO","ged_count_sb",2.84455463535129e-17,"2014-04-30",4,NA
"AO","ged_best_os",2.58081532984566e-17,"2014-05-31",1,NA
"AO","ged_count_sb",2.75736037328677e-17,"2014-05-31",2,NA
"AO","ged_count_sb",2.83213736161585e-17,"2014-05-31",3,NA
"AO","ged_count_sb",2.84452253823787e-17,"2014-05-31",5,NA
"AO","ged_count_sb",2.85753700573183e-17,"2014-06-30",7,NA
"AO","ged_count_sb",1.41408554943904e-17,"2014-08-31",4,NA
"AO","ged_count_sb",2.84452253823787e-17,"2014-09-30",7,NA
"AO","ged_count_sb",2.81628175401468e-17,"2014-10-31",3,NA
"AO","ged_count_sb",1.40791237553285e-17,"2014-11-30",3,NA
"AO","ged_count_sb",4.23011855116742e-17,"2014-11-30",4,NA
"AO","ged_count_sb",2.82844349148849e-17,"2014-11-30",6,NA
"AO","ged_count_sb",2.81538241077186e-17,"2014-12-31",3,NA
"AO","ged_best_os",5.16211311027238e-17,"2015-01-31",1,NA
"AO","ged_count_sb",2.81152812059066e-17,"2015-01-31",3,NA
"AO","ged_count_sb",2.81931454074541e-17,"2015-01-31",4,NA
"AO","ged_count_sb",1.40387468959325e-17,"2015-02-28",3,NA
"AO","ged_count_sb",2.81538241077186e-17,"2015-02-28",4,NA
"AO","ged_count_sb",1.41197721658216e-17,"2015-02-28",6,NA
"AO","ged_count_sb",1.40202199232965e-17,"2015-03-31",3,NA
"AO","ged_count_sb",2.81152812059066e-17,"2015-03-31",4,NA
"AO","ged_count_sb",1.40387468959325e-17,"2015-04-30",4,NA
"AO","ged_count_sb",1.3786982320009e-17,"2015-05-31",3,NA
"AO","ged_count_sb",2.8158247510657e-17,"2015-05-31",6,NA
"AO","ged_best_os",2.59572918397015e-17,"2015-07-31",1,NA
"AO","ged_best_os",2.59578601059004e-17,"2015-08-31",1,NA
"AO","ged_count_sb",2.7405683426747e-17,"2015-08-31",5,NA
"AO","ged_count_sb",1.38251909079522e-17,"2015-08-31",6,NA
"AO","ged_best_os",5.19168402099829e-17,"2015-09-30",1,NA
"AO","ged_count_sb",2.74442922887766e-17,"2015-09-30",6,NA
"AO","ged_count_sb",2.76887705522462e-17,"2015-09-30",7,NA
"AO","wdi_ne_imp_gnfs_zs",2.75993072351008e-18,"2015-10-31",7,NA
"AO","wdi_ne_imp_gnfs_zs",1.36825011705333e-18,"2015-12-31",7,NA
"AO","ged_best_os",2.59605809304579e-17,"2016-01-31",1,NA
"AO","ged_count_sb",1.36117097678108e-17,"2016-01-31",5,NA
"AO","ged_count_sb",1.35944917679034e-17,"2016-02-29",5,NA
"AO","wdi_ne_imp_gnfs_zs",1.34229039889231e-18,"2016-03-31",5,NA
"AO","wdi_ne_imp_gnfs_zs",2.70361655784782e-18,"2016-03-31",7,NA
"AO","wdi_ne_imp_gnfs_zs",2.69321203238281e-18,"2016-04-30",7,NA
"AO","wdi_ne_imp_gnfs_zs",2.67388706982418e-18,"2016-05-31",6,NA
"AO","wdi_ne_imp_gnfs_zs",2.66418664060838e-18,"2016-06-30",6,NA
"AO","wdi_ne_imp_gnfs_zs",2.67317531505838e-18,"2016-06-30",7,NA
"AO","ged_best_os",5.77766607947962e-17,"2016-08-31",1,NA
"AO","wdi_ne_imp_gnfs_zs",2.59212426200129e-18,"2016-08-31",5,NA
"AO","wdi_ne_imp_gnfs_zs",2.6224196637415e-18,"2016-08-31",6,NA
"AO","acled_count_ns",1.23042841384706e-16,"2016-09-30",3,NA
"AO","acled_count_ns",4.5548304189211e-17,"2016-10-31",2,NA
"AO","wdi_ne_imp_gnfs_zs",2.53457161987446e-18,"2016-10-31",5,NA
"AO","wdi_ne_imp_gnfs_zs",2.59114427073273e-18,"2016-10-31",7,NA
"AO","ged_best_os",2.90391507698214e-17,"2016-11-30",1,NA
"AO","wdi_ne_imp_gnfs_zs",1.26709849721405e-18,"2016-11-30",6,NA
"AO","ged_best_os",5.80809549538372e-17,"2016-12-31",1,NA
"AO","acled_count_ns",9.11737900650136e-17,"2016-12-31",5,NA
"AO","ged_best_os",2.90417864839121e-17,"2017-01-31",1,NA
"AO","acled_count_ns",1.29283585888975e-16,"2017-01-31",4,NA
"AO","acled_count_ns",8.60990206071209e-17,"2017-02-28",2,NA
"AO","acled_count_ns",4.30852586604975e-17,"2017-02-28",4,NA
"AO","acled_count_ns",4.31039377468276e-17,"2017-02-28",5,NA
"AO","acled_count_ns",9.11737900650136e-17,"2017-02-28",6,NA
"AO","acled_count_ns",9.12141591940861e-17,"2017-02-28",7,NA
"AO","acled_count_ns",4.30761247753107e-17,"2017-03-31",4,NA
"AO","acled_count_ns",1.29283585888975e-16,"2017-03-31",5,NA
"AO","wdi_ic_bus_dfrn_xq",1.96635541736199e-16,"2017-04-30",2,NA
"AO","acled_count_ns",8.61342479987331e-17,"2017-04-30",4,NA
"AO","acled_count_ns",4.30852586604975e-17,"2017-04-30",5,NA
"AO","acled_count_ns",4.31039377468276e-17,"2017-04-30",6,NA
"AO","acled_count_ns",4.31231861482659e-17,"2017-04-30",7,NA
"AO","ged_best_os",6.1568283097069e-17,"2017-05-31",1,NA
"AO","wdi_sp_pop_1564_to_zs",3.71613727008297e-16,"2017-05-31",2,NA
"AO","acled_count_ns",4.30582534440079e-17,"2017-05-31",4,NA
"AO","acled_count_ns",4.30761247753107e-17,"2017-05-31",5,NA
"AO","acled_count_ns",1.29283585888975e-16,"2017-05-31",6,NA
"AO","wdi_ic_bus_dfrn_xq",1.96594379405828e-16,"2017-06-30",4,NA
"AO","acled_count_ns",8.61342479987331e-17,"2017-06-30",5,NA
"AO","acled_count_ns",4.30852586604975e-17,"2017-06-30",6,NA
"AO","acled_count_ns",4.60068959233589e-17,"2017-07-31",3,NA
"AO","acled_count_ns",4.30761247753107e-17,"2017-07-31",6,NA
"AO","acled_count_ns",1.29283585888975e-16,"2017-07-31",7,NA
"AO","wdi_sp_pop_1564_to_zs",6.8438617706441e-16,"2017-08-31",3,NA
"AO","acled_count_ns",4.60157966444431e-17,"2017-08-31",4,NA
"AO","wdi_ic_bus_dfrn_xq",1.96552088165333e-16,"2017-08-31",6,NA
"AO","acled_count_ns",4.30852586604975e-17,"2017-08-31",7,NA
"AO","ged_best_os",6.28661639912705e-17,"2017-09-30",1,NA
"AO","wdi_sp_pop_1564_to_zs",1.66951151949066e-16,"2017-09-30",3,NA
"AO","wdi_sp_pop_1564_to_zs",6.86851267717178e-16,"2017-09-30",4,NA
"AO","wdi_sp_pop_1564_to_zs",4.69851095003244e-16,"2017-10-31",2,NA
"AO","wdi_sp_pop_1564_to_zs",3.79092974584538e-16,"2017-10-31",7,NA
"AO","ged_best_os",3.14367556788709e-17,"2017-11-30",1,NA
"AO","wdi_sp_pop_1564_to_zs",1.57143103825691e-16,"2017-11-30",3,NA
"AO","acled_count_ns",9.20865545730856e-17,"2017-11-30",7,NA
"AO","wdi_sp_pop_1564_to_zs",4.73042390115139e-16,"2017-12-31",4,NA
"AO","wdi_sp_pop_1564_to_zs",1.64374960733636e-16,"2017-12-31",5,NA
"AO","wdi_sp_pop_1564_to_zs",6.7508495821221e-16,"2017-12-31",6,NA
"AO","wdi_sp_pop_1564_to_zs",1.69406353942678e-16,"2018-01-31",7,NA
"AO","ged_best_os",3.34721202786454e-17,"2018-02-28",1,NA
"AO","wdi_sp_pop_1564_to_zs",5.86093466698014e-16,"2018-02-28",2,NA
"AO","wdi_sp_pop_1564_to_zs",3.3117627755866e-16,"2018-02-28",7,NA
"AO","ged_best_os",3.34742885648697e-17,"2018-03-31",1,NA
"AO","wdi_sp_pop_1564_to_zs",1.53032487585912e-16,"2018-04-30",6,NA
"AO","wdi_sp_pop_1564_to_zs",3.12697179565971e-16,"2018-04-30",7,NA
"AO","wdi_sp_pop_1564_to_zs",1.45420369919403e-16,"2018-05-31",4,NA
"AO","wdi_tx_val_agri_zs_un",1.40663620210198e-15,"2018-07-31",3,NA
"AO","wdi_tx_val_agri_zs_un",7.03728433316687e-16,"2018-09-30",4,NA
"AO","wdi_tx_val_agri_zs_un",7.1644650043341e-16,"2019-07-31",4,NA
"AO","ged_count_sb",3.6678296894156e-17,"2019-08-31",1,NA
"AO","ged_count_sb",2.43696217488494e-17,"2019-11-30",1,NA
"AO","wdi_tx_val_agri_zs_un",1.43774917463121e-15,"2019-11-30",4,NA
"AO","wdi_tx_val_agri_zs_un",7.16648010236172e-16,"2019-12-31",2,NA
"AO","wdi_tx_val_agri_zs_un",1.43540354095483e-15,"2019-12-31",3,NA
"AO","wdi_tx_val_agri_zs_un",1.43750051700355e-15,"2019-12-31",4,NA
