"country","coef","value","date","step","rank"
"CD","wdi_nv_srv_totl_kd",5.20831472562428e-10,"2014-01-31",1,NA
"CD","wdi_nv_srv_totl_kd",4.80673428652373e-10,"2014-01-31",2,NA
"CD","wdi_nv_srv_totl_kd",3.67385819842707e-10,"2014-01-31",3,0.5
"CD","wdi_nv_srv_totl_kn",2.02420763448353e-26,"2014-01-31",3,1
"CD","wdi_sp_urb_grow",0.919026676480487,"2014-01-31",3,0.75
"CD","vdem_v2xex_elecleg",0.080249373295226,"2014-01-31",3,0.25
"CD","wdi_nv_srv_totl_kd",4.33399155720484e-10,"2014-01-31",4,1
"CD","wdi_nv_srv_totl_kn",2.68333305643995e-26,"2014-01-31",4,0.75
"CD","wdi_sp_urb_grow",0.332353022404496,"2014-01-31",4,0.5
"CD","vdem_v2xex_elecleg",0.0386612976871182,"2014-01-31",4,0.25
"CD","wdi_nv_srv_totl_kd",4.91103777458978e-10,"2014-01-31",5,0.5
"CD","wdi_nv_srv_totl_kn",2.8781621550048e-28,"2014-01-31",5,1
"CD","wdi_nv_srv_totl_kd",4.85274985982967e-10,"2014-01-31",6,0.5
"CD","wdi_nv_srv_totl_kn",2.91306980556974e-28,"2014-01-31",6,1
"CD","wdi_nv_srv_totl_kd",3.93032864803038e-10,"2014-01-31",7,1
"CD","wdi_nv_srv_totl_kn",1.06561658968275e-25,"2014-01-31",7,0.666666666666667
"CD","vdem_v2x_egaldem",3.6121761960056,"2014-01-31",7,0.333333333333333
"CD","wdi_nv_srv_totl_kd",5.20421776368591e-10,"2014-02-28",1,1
"CD","wdi_nv_srv_totl_kn",1.91121648631269e-27,"2014-02-28",1,0.5
"CD","wdi_nv_srv_totl_kd",5.20080588948149e-10,"2014-02-28",2,1
"CD","wdi_nv_srv_totl_kn",3.595212516912e-27,"2014-02-28",2,0.5
"CD","wdi_nv_srv_totl_kd",4.79886101783531e-10,"2014-02-28",3,1
"CD","wdi_nv_srv_totl_kn",2.01372602019584e-26,"2014-02-28",3,0.5
"CD","wdi_nv_srv_totl_kd",3.56829464733829e-10,"2014-02-28",4,0.666666666666667
"CD","wdi_sp_urb_grow",0.749135926773224,"2014-02-28",4,1
"CD","vdem_v2xex_elecleg",0.042832506408201,"2014-02-28",4,0.333333333333333
"CD","wdi_nv_srv_totl_kd",4.23949676471484e-10,"2014-02-28",5,0.75
"CD","wdi_nv_srv_totl_kn",5.74850385860039e-26,"2014-02-28",5,1
"CD","wdi_sp_urb_grow",0.144589949225908,"2014-02-28",5,0.5
"CD","vdem_v2xex_elecleg",0.000495436674637767,"2014-02-28",5,0.25
"CD","wdi_nv_srv_totl_kd",4.90327193575772e-10,"2014-02-28",6,NA
"CD","wdi_nv_srv_totl_kd",4.84325120988241e-10,"2014-02-28",7,1
"CD","wdi_nv_srv_totl_kn",5.87636042201238e-28,"2014-02-28",7,0.5
"CD","wdi_nv_srv_totl_kd",5.58932960591656e-10,"2014-03-31",1,0.5
"CD","wdi_nv_srv_totl_kn",3.78804777098228e-27,"2014-03-31",1,1
"CD","wdi_nv_srv_totl_kd",5.19675021515676e-10,"2014-03-31",2,0.5
"CD","wdi_nv_srv_totl_kn",3.0766482311602e-26,"2014-03-31",2,1
"CD","wdi_nv_srv_totl_kd",4.82271860579297e-10,"2014-03-31",3,NA
"CD","wdi_nv_srv_totl_kd",5.15807668396294e-10,"2014-03-31",4,NA
"CD","wdi_nv_srv_totl_kd",3.72837191942804e-10,"2014-03-31",5,1
"CD","wdi_nv_srv_totl_kn",1.50214260235712e-25,"2014-03-31",5,0.75
"CD","wdi_sp_urb_grow",0.82862926078354,"2014-03-31",5,0.5
"CD","vdem_v2xex_elecleg",0.081307211934406,"2014-03-31",5,0.25
"CD","wdi_nv_srv_totl_kd",4.34064948162692e-10,"2014-03-31",6,0.75
"CD","wdi_nv_srv_totl_kn",1.70956939081029e-25,"2014-03-31",6,0.5
