"country","coef","value","date","step","rank"
"CG","wdi_dt_oda_odat_gn_zs",2.35104916706001e-18,"2014-01-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",2.35564781723164e-18,"2014-01-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",7.86810995622521e-19,"2014-01-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",7.90204130655349e-19,"2014-01-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.58402279204921e-18,"2014-01-31",6,NA
"CG","icgcw_deteriorated",6.22902577789367e-17,"2014-01-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",2.35682289234617e-18,"2014-02-28",3,NA
"CG","wdi_dt_oda_odat_gn_zs",7.87225455850672e-19,"2014-02-28",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.57782230954522e-18,"2014-02-28",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.56583292217881e-18,"2014-03-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",2.36807723622231e-18,"2014-03-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.58228842646375e-18,"2014-03-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.56000920687851e-18,"2014-04-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",7.81611014960206e-19,"2014-04-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",7.80334405619292e-19,"2014-05-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",7.85208596101722e-19,"2014-05-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",2.36048988067309e-18,"2014-05-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.57703986766771e-18,"2014-05-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",2.33725704919009e-18,"2014-06-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.56134073996536e-18,"2014-06-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.56805976281991e-18,"2014-06-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.57121787415026e-18,"2014-06-30",6,NA
"CG","wdi_dt_oda_odat_gn_zs",3.14901582085598e-18,"2014-06-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.55275137566484e-18,"2014-07-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.56202534191994e-18,"2014-07-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.56883123008501e-18,"2014-07-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",7.86017317485455e-19,"2014-07-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",7.75216766402513e-19,"2014-08-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",7.76668303392154e-19,"2014-08-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",2.33452207607891e-18,"2014-08-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",7.81361489631417e-19,"2014-08-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",7.83050678595187e-19,"2014-08-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",7.75497944771293e-19,"2014-09-30",2,NA
