"country","coef","value","date","step","rank"
"CG","wdi_dt_oda_odat_gn_zs",6.38309218523173e-19,"2014-01-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.92054689264817e-18,"2014-01-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.28834630221372e-18,"2014-01-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.2970565182315e-18,"2014-01-31",6,NA
"CG","icgcw_deteriorated",5.08873155257897e-17,"2014-01-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.91113908023239e-18,"2014-02-28",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.27774511882548e-18,"2014-02-28",2,NA
"CG","wdi_dt_oda_odat_gn_zs",6.4077561146546e-19,"2014-02-28",3,NA
"CG","wdi_dt_oda_odat_gn_zs",6.427605855182e-19,"2014-02-28",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.44833007488726e-19,"2014-02-28",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.29852981120406e-18,"2014-02-28",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.90692993098683e-18,"2014-03-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.27518419960542e-18,"2014-03-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.91834128798955e-18,"2014-03-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.28276194311438e-18,"2014-03-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.45506866661998e-19,"2014-03-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.29542178265925e-18,"2014-03-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26854321086984e-18,"2014-04-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.91444569603312e-18,"2014-04-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.28399749723372e-18,"2014-04-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",2.57620307258157e-18,"2014-04-30",6,NA
"CG","wdi_dt_oda_odat_gn_zs",6.40631118897563e-19,"2014-05-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.92788798645672e-18,"2014-05-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.28943273150627e-18,"2014-05-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.3342304132079e-19,"2014-06-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.27060197211175e-18,"2014-06-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",6.39294964567201e-19,"2014-06-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.28248264292198e-18,"2014-06-30",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.28654622905266e-18,"2014-06-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",2.52837851569631e-18,"2014-07-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.90177574625625e-18,"2014-07-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.91344704999994e-18,"2014-07-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",6.41864153658201e-19,"2014-07-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.32580114873537e-19,"2014-08-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.90331128278007e-18,"2014-08-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.36370709446896e-19,"2014-08-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",6.38385955297129e-19,"2014-08-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.25569659715594e-18,"2014-09-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",6.2952374328764e-19,"2014-09-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.89379371102813e-18,"2014-09-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",6.3307481641461e-19,"2014-09-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26991771615907e-18,"2014-09-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.25655885868982e-18,"2014-10-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.88993293667218e-18,"2014-10-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26348555675034e-18,"2014-10-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.3357899854364e-19,"2014-10-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.27098166283901e-18,"2014-10-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.25093037101831e-18,"2014-11-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.25412274551724e-18,"2014-11-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26087996056832e-18,"2014-11-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24862049537111e-18,"2014-12-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.2517374958818e-18,"2014-12-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26545329836564e-18,"2014-12-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.2692338327205e-18,"2014-12-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24635745700039e-18,"2015-01-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.87883853316878e-18,"2015-01-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.88375496275211e-18,"2015-01-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.25924162634326e-18,"2015-01-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26278181021433e-18,"2015-01-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.89969852781603e-18,"2015-01-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24711332265745e-18,"2015-02-28",2,NA
"CG","wdi_dt_oda_odat_gn_zs",6.25098177261582e-19,"2015-02-28",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26016937481749e-18,"2015-02-28",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.86730713963183e-18,"2015-03-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24788240578151e-18,"2015-03-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.26111466121117e-18,"2015-03-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24001564007077e-18,"2015-04-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",6.21383107658745e-19,"2015-04-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.86842351842859e-18,"2015-04-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24866505619197e-18,"2015-04-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.88267095552447e-18,"2015-04-30",6,NA
"CG","wdi_dt_oda_odat_gn_zs",2.51705536212435e-18,"2015-04-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.21743563168686e-19,"2015-05-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.2463729299887e-18,"2015-05-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24946163616518e-18,"2015-05-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",2.51199427344443e-18,"2015-05-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.1802452175491e-19,"2015-06-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.85801793623092e-18,"2015-06-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",6.22110252481839e-19,"2015-06-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24714352312743e-18,"2015-06-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.25027252099403e-18,"2015-06-30",6,NA
"CG","wdi_dt_oda_odat_gn_zs",6.2676059725285e-19,"2015-06-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.85118306258439e-18,"2015-07-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.85504080631103e-18,"2015-07-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.85903284086203e-18,"2015-07-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.86316658530734e-18,"2015-07-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.87664714936692e-18,"2015-07-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.21416830463276e-19,"2015-08-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24572598174936e-18,"2015-08-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",6.24363085874694e-19,"2015-08-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.23037538801241e-18,"2015-09-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.23801602803596e-18,"2015-09-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.2324938374937e-19,"2015-09-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.84644371884543e-18,"2015-10-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.85404205847853e-18,"2015-10-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.86218262977809e-18,"2015-10-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24431697593765e-18,"2015-10-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.84014798782771e-18,"2015-11-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.23155908425531e-18,"2015-11-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.2340782054761e-18,"2015-11-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",1.2366846977092e-18,"2015-11-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",1.24217940582753e-18,"2015-11-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.16082718130583e-19,"2015-12-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.20042361048842e-19,"2015-12-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",6.1164224863084e-19,"2016-01-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.83831604585789e-18,"2016-01-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.84543302213664e-18,"2016-01-31",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.17680590478336e-19,"2016-01-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.22159039108057e-18,"2016-02-29",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.83570453257502e-18,"2016-02-29",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.23340835264649e-18,"2016-02-29",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.85402840643443e-18,"2016-02-29",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.21991965636402e-18,"2016-03-31",1,NA
"CG","wdi_dt_oda_odat_gn_zs",2.46809084616649e-18,"2016-03-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.83061059159249e-18,"2016-04-30",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.8339054733011e-18,"2016-04-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",2.44972916783055e-18,"2016-04-30",4,NA
"CG","wdi_dt_oda_odat_gn_zs",6.16054981250521e-19,"2016-04-30",7,NA
"CG","wdi_dt_oda_odat_gn_zs",2.44180390999197e-18,"2016-05-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.84531719394855e-18,"2016-05-31",7,NA
"CG","wdi_dt_oda_odat_gn_zs",1.82884556225542e-18,"2016-06-30",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.22364881049025e-18,"2016-06-30",5,NA
"CG","wdi_dt_oda_odat_gn_zs",6.12980069434214e-19,"2016-06-30",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.22834887181947e-18,"2016-06-30",7,NA
"CG","wdi_vc_idp_tocv",4.39648075361323e-21,"2016-07-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.22418382989436e-18,"2016-07-31",6,NA
"CG","wdi_dt_oda_odat_gn_zs",1.83978176704138e-18,"2016-07-31",7,NA
"CG","wdi_vc_idp_tocv",4.00067986054531e-21,"2016-08-31",3,NA
"CG","wdi_dt_oda_odat_gn_zs",1.8303182330875e-18,"2016-08-31",5,NA
"CG","wdi_dt_oda_odat_gn_zs",6.12363703495964e-19,"2016-08-31",7,NA
"CG","wdi_vc_idp_tocv",3.30641907806693e-21,"2016-09-30",1,NA
"CG","wdi_dt_oda_odat_gn_zs",1.22295998513646e-18,"2016-09-30",7,NA
"CG","wdi_vc_idp_tocv",3.30710188926325e-21,"2016-10-31",2,NA
"CG","wdi_dt_oda_odat_gn_zs",1.83183718448023e-18,"2016-10-31",7,NA
"CG","wdi_vc_idp_tocv",3.30779446253953e-21,"2016-11-30",3,NA
"CG","wdi_vc_idp_tocv",3.48863139647513e-21,"2016-11-30",4,NA
"CG","wdi_vc_idp_tocv",3.48923430512822e-21,"2016-12-31",5,NA
"CG","wdi_vc_idp_tocv",3.71318167634676e-21,"2016-12-31",6,NA
"CG","wdi_vc_idp_tocv",4.00197036301633e-21,"2016-12-31",7,NA
"CG","wdi_vc_idp_tocv",1.57958073079176e-21,"2017-01-31",4,NA
"CG","wdi_vc_idp_tocv",2.83847822216584e-21,"2017-02-28",3,NA
"CG","wdi_vc_idp_tocv",3.49046675490796e-21,"2017-02-28",7,NA
"CG","wdi_vc_idp_tocv",2.84019327750732e-21,"2017-04-30",5,NA
"CG","wdi_vc_idp_tocv",2.94045223514394e-21,"2017-04-30",6,NA
"CG","wdi_vc_idp_tocv",5.22909034352517e-21,"2017-06-30",5,NA
"CG","wdi_vc_idp_tocv",2.6877580009898e-21,"2017-07-31",7,NA
"CG","wdi_vc_idp_tocv",5.23282495083707e-21,"2017-08-31",7,NA
"CG","wdi_ic_cus_durs_ex",1.19193993252763e-17,"2017-10-31",2,NA
"CG","wdi_ic_cus_durs_ex",5.82485270606599e-18,"2018-01-31",3,NA
"CG","wdi_ic_cus_durs_ex",6.02039648923972e-18,"2018-01-31",5,NA
"CG","wdi_ic_cus_durs_ex",1.72636821727067e-17,"2018-02-28",3,NA
"CG","wdi_ic_cus_durs_ex",5.84446605406253e-18,"2018-02-28",4,NA
"CG","wdi_ic_cus_durs_ex",5.47998187903768e-18,"2018-03-31",1,NA
"CG","wdi_ic_cus_durs_ex",5.55372125703113e-18,"2018-03-31",2,NA
"CG","wdi_ic_cus_durs_ex",5.77391274370506e-18,"2018-03-31",4,NA
"CG","wdi_ic_cus_durs_ex",1.69499765204265e-17,"2018-04-30",4,NA
"CG","wdi_ic_cus_durs_ex",1.79460026750445e-17,"2018-04-30",7,NA
"CG","wdi_ic_cus_durs_ex",1.11803988494355e-17,"2018-05-31",4,NA
"CG","wdi_ic_cus_durs_ex",1.13380487072196e-17,"2018-05-31",5,NA
"CG","wdi_ic_cus_durs_ex",5.90597547822092e-18,"2018-05-31",7,NA
"CG","wdi_ic_cus_durs_ex",5.46188780326685e-18,"2018-06-30",3,NA
"CG","wdi_ic_cus_durs_ex",5.41109948483445e-18,"2018-07-31",3,NA
"CG","wdi_ic_cus_durs_ex",1.08581140684576e-17,"2018-08-31",4,NA
"CG","wdi_ic_cus_durs_ex",5.57134283093003e-18,"2018-08-31",6,NA
"CG","wdi_ic_cus_durs_ex",5.44740098982356e-18,"2018-09-30",5,NA
"CG","wdi_ic_cus_durs_ex",5.51737818957031e-18,"2018-09-30",6,NA
"CG","wdi_ic_cus_durs_ex",5.46614418875206e-18,"2018-10-31",6,NA
"CG","wdi_ic_cus_durs_ex",5.48530005201298e-18,"2018-11-30",7,NA
