"country","coef","value","date","step","rank"
"CI","m_material_coop",2.53875341959918e-17,"2014-01-31",5,NA
"CI","icgcw_alerts",2.78843601222768e-16,"2014-01-31",7,NA
"CI","m_material_coop",2.45418837398242e-17,"2014-02-28",1,NA
"CI","m_material_coop",2.49210344345882e-17,"2014-02-28",3,NA
"CI","m_material_coop",2.47182318333275e-17,"2014-03-31",2,NA
"CI","m_material_coop",2.47154338609755e-17,"2014-04-30",2,NA
"CI","m_material_coop",2.49016815237082e-17,"2014-04-30",3,NA
"CI","m_material_coop",2.45409913458203e-17,"2014-05-31",1,NA
"CI","m_material_coop",2.48994795594729e-17,"2014-05-31",3,NA
"CI","m_material_coop",2.49004221710875e-17,"2014-06-30",3,NA
"CI","icgcw_alerts",3.02327704297403e-16,"2014-06-30",4,NA
"CI","icgcw_alerts",2.78545073919536e-16,"2014-06-30",6,NA
"CI","icgcw_alerts",2.78626298451059e-16,"2014-06-30",7,NA
"CI","m_material_coop",2.47232116256165e-17,"2014-07-31",2,NA
"CI","icgcw_alerts",5.57011183523882e-16,"2014-07-31",6,NA
"CI","m_material_coop",4.94560780173484e-17,"2014-08-31",2,NA
"CI","m_material_coop",2.49084213497244e-17,"2014-08-31",3,NA
"CI","m_material_coop",2.52927251011646e-17,"2014-08-31",5,NA
"CI","icgcw_alerts",2.78466835312011e-16,"2014-08-31",6,NA
"CI","icgcw_alerts",2.78545073919536e-16,"2014-08-31",7,NA
"CI","m_material_coop",1.22785384591042e-17,"2014-09-30",1,NA
"CI","m_material_coop",2.49133553202274e-17,"2014-09-30",3,NA
"CI","m_material_coop",1.22788604069216e-17,"2014-10-31",1,NA
"CI","icgcw_alerts",3.02218203061353e-16,"2014-10-31",4,NA
"CI","m_diplom_coop",0.00190543791879933,"2014-10-31",6,1
"CI","m_material_coop",0.0138839436856302,"2014-10-31",6,0.666666666666667
"CI","icgcw_alerts",0.393326808045005,"2014-10-31",6,0.333333333333333
"CI","icgcw_alerts",2.78466835312011e-16,"2014-10-31",7,NA
"CI","m_material_coop",2.45552388696537e-17,"2014-11-30",1,NA
"CI","icgcw_alerts",5.56857569484784e-16,"2014-11-30",7,NA
"CI","m_material_coop",3.68229539751481e-17,"2014-12-31",1,NA
"CI","m_material_coop",2.47321882701565e-17,"2014-12-31",2,NA
"CI","m_material_coop",2.49198251805034e-17,"2014-12-31",3,NA
"CI","icgcw_alerts",2.78391420941536e-16,"2014-12-31",7,NA
"CI","m_material_coop",0.00288507543020453,"2015-01-31",6,1
"CI","icgcw_alerts",0.28626735287102,"2015-01-31",6,0.5
"CI","icgcw_alerts",6.04232179788733e-16,"2015-02-28",4,NA
"CI","icgcw_alerts",5.56496949003578e-16,"2015-02-28",6,NA
"CI","icgcw_alerts",2.78318680588526e-16,"2015-02-28",7,NA
"CI","icgcw_alerts",4.28744514291294e-16,"2015-03-31",1,NA
"CI","icgcw_alerts",2.78214280775993e-16,"2015-03-31",6,NA
"CI","icgcw_alerts",2.85799875431261e-16,"2015-04-30",1,NA
"CI","icgcw_alerts",6.04232179788733e-16,"2015-04-30",5,NA
"CI","icgcw_alerts",5.56496949003578e-16,"2015-04-30",7,NA
"CI","m_material_coop",2.46359212184938e-17,"2015-05-31",2,NA
"CI","icgcw_alerts",2.78147634771504e-16,"2015-05-31",6,NA
"CI","icgcw_alerts",2.78214280775993e-16,"2015-05-31",7,NA
"CI","icgcw_alerts",2.85741672855064e-16,"2015-06-30",1,NA
"CI","icgcw_alerts",3.02020641469922e-16,"2015-06-30",4,NA
"CI","icgcw_alerts",2.85713249320372e-16,"2015-07-31",1,NA
"CI","icgcw_alerts",3.01997744882887e-16,"2015-07-31",4,NA
"CI","icgcw_alerts",2.78083213792641e-16,"2015-07-31",6,NA
"CI","icgcw_alerts",2.85741672855064e-16,"2015-08-31",2,NA
"CI","icgcw_alerts",3.01975215901337e-16,"2015-08-31",4,NA
"CI","icgcw_alerts",3.02020641469921e-16,"2015-08-31",5,NA
"CI","icgcw_alerts",1.42856624660186e-16,"2015-09-30",2,NA
"CI","icgcw_alerts",2.78083213792641e-16,"2015-09-30",7,NA
"CI","icgcw_alerts",7.14076415807538e-16,"2015-10-31",1,NA
"CI","icgcw_alerts",2.85741672855064e-16,"2015-10-31",3,NA
"CI","icgcw_alerts",3.01975215901337e-16,"2015-10-31",5,NA
"CI","icgcw_alerts",1.42856624660186e-16,"2015-11-30",3,NA
"CI","icgcw_alerts",8.56891698969046e-16,"2015-12-31",2,NA
"CI","icgcw_alerts",3.01888604477462e-16,"2015-12-31",4,NA
"CI","icgcw_alerts",2.77931193861791e-16,"2015-12-31",6,NA
"CI","icgcw_alerts",2.77990516446237e-16,"2015-12-31",7,NA
"CI","icgcw_alerts",3.01867787176032e-16,"2016-01-31",4,NA
"CI","icgcw_alerts",2.85526004414133e-16,"2016-02-29",1,NA
"CI","icgcw_alerts",7.14076415807538e-16,"2016-02-29",3,NA
"CI","icgcw_alerts",3.01888604477462e-16,"2016-02-29",5,NA
"CI","icgcw_alerts",2.77931193861791e-16,"2016-02-29",7,NA
