"country","coef","value","date","step","rank"
"CM","wdi_ic_bus_disc_xq",1.56153527166001e-16,"2014-08-31",2,NA
"CM","wdi_ic_bus_disc_xq",3.29359303153118e-16,"2014-09-30",1,0.5
"CM","wdi_sh_sta_traf_p5",1.97615581891879e-16,"2014-09-30",1,1
"CM","wdi_tx_val_tech_mf_zs",6.00816702515304e-17,"2014-10-31",3,NA
"CM","wdi_tx_val_tech_mf_zs",6.3772448700347e-17,"2014-10-31",4,NA
"CM","ged_count_sb",0.0343403438580561,"2014-11-30",1,1
"CM","ged_dummy_sb",0.462266789695373,"2014-11-30",1,0.8
"CM","wdi_ic_bus_disc_xq",0.171215624086684,"2014-11-30",1,0.6
"CM","wdi_sh_sta_traf_p5",0.206007364757559,"2014-11-30",1,0.2
"CM","wdi_tx_val_tech_mf_zs",0.0703112465269237,"2014-11-30",1,0.4
"CM","wdi_tx_val_tech_mf_zs",6.00912527511737e-17,"2014-11-30",4,NA
"CM","wdi_tx_val_tech_mf_zs",6.37819836209704e-17,"2014-11-30",5,NA
"CM","ged_count_sb",0.0972819646605491,"2014-12-31",1,1
"CM","ged_count_os",0.0790074921842988,"2014-12-31",1,0.75
"CM","ged_best_os",0.0107313002132604,"2014-12-31",1,0.125
"CM","ged_dummy_sb",0.67240167912474,"2014-12-31",1,0.875
"CM","acled_count_sb",0.00644871936397478,"2014-12-31",1,0.25
"CM","wdi_ic_bus_disc_xq",0.265498169783276,"2014-12-31",1,0.625
"CM","wdi_sh_sta_traf_p5",0.318429525814232,"2014-12-31",1,0.5
"CM","wdi_tx_val_tech_mf_zs",0.108543388112144,"2014-12-31",1,0.375
"CM","ged_count_sb",0.00926540619405058,"2014-12-31",2,1
"CM","ged_dummy_sb",0.318722460656006,"2014-12-31",2,0.8
"CM","wdi_ic_bus_disc_xq",0.105792830064903,"2014-12-31",2,0.2
"CM","wdi_sh_sta_traf_p5",0.12769556437248,"2014-12-31",2,0.4
"CM","wdi_tx_val_tech_mf_zs",0.0435909142890615,"2014-12-31",2,0.6
"CM","ged_dummy_sb",0.153982189812338,"2014-12-31",4,1
"CM","wdi_ic_bus_disc_xq",0.126448716716807,"2014-12-31",4,0.25
"CM","wdi_sh_sta_traf_p5",0.152281222675973,"2014-12-31",4,0.75
"CM","wdi_tx_val_tech_mf_zs",0.0519065822641215,"2014-12-31",4,0.5
"CM","ged_count_sb",0.121840586792097,"2015-01-31",1,1
"CM","ged_count_os",0.157549284826262,"2015-01-31",1,0.75
"CM","ged_best_os",0.00736568851047903,"2015-01-31",1,0.125
"CM","ged_dummy_sb",0.66223983066076,"2015-01-31",1,0.875
"CM","acled_count_sb",0.00601432934668479,"2015-01-31",1,0.375
"CM","wdi_ic_bus_disc_xq",0.269319296369741,"2015-01-31",1,0.5
"CM","wdi_sh_sta_traf_p5",0.323565225485098,"2015-01-31",1,0.625
"CM","wdi_tx_val_tech_mf_zs",0.110293885928568,"2015-01-31",1,0.25
"CM","ged_count_sb",0.0943551774706928,"2015-01-31",2,1
"CM","ged_count_os",0.050044603469292,"2015-01-31",2,0.625
"CM","ged_best_os",0.00835487997773812,"2015-01-31",2,0.25
"CM","ged_dummy_sb",0.626867647124441,"2015-01-31",2,0.875
"CM","acled_count_sb",0.00609866313078194,"2015-01-31",2,0.125
"CM","wdi_ic_bus_disc_xq",0.246507530766385,"2015-01-31",2,0.375
"CM","wdi_sh_sta_traf_p5",0.295245012146289,"2015-01-31",2,0.75
"CM","wdi_tx_val_tech_mf_zs",0.100721617568507,"2015-01-31",2,0.5
"CM","ged_count_sb",0.0398413103032104,"2015-01-31",3,1
"CM","ged_dummy_sb",0.496836199277434,"2015-01-31",3,0.8
"CM","wdi_ic_bus_disc_xq",0.186102597229074,"2015-01-31",3,0.2
"CM","wdi_sh_sta_traf_p5",0.223549782966781,"2015-01-31",3,0.4
