"country","coef","value","date","step","rank"
"DZ","wdi_vc_btl_deth",5.94682808985191e-19,"2014-02-28",3,NA
"DZ","wdi_vc_btl_deth",2.89737047571529e-19,"2014-02-28",5,NA
"DZ","wdi_vc_btl_deth",2.95523621762784e-19,"2014-02-28",7,NA
"DZ","wdi_vc_btl_deth",5.87695626100812e-19,"2014-03-31",2,NA
"DZ","wdi_vc_btl_deth",5.77885479375678e-19,"2014-03-31",6,NA
"DZ","wdi_vc_btl_deth",2.92187552224903e-19,"2014-04-30",2,NA
"DZ","wdi_vc_btl_deth",2.94573876492196e-19,"2014-04-30",4,NA
"DZ","wdi_vc_btl_deth",2.85687808328671e-19,"2014-05-31",1,NA
"DZ","wdi_vc_btl_deth",8.62179760518539e-19,"2014-05-31",7,NA
"DZ","wdi_vc_btl_deth",2.82307829542836e-19,"2014-06-30",1,NA
"DZ","wdi_vc_btl_deth",2.78231929130764e-19,"2014-08-31",1,NA
"DZ","wdi_vc_btl_deth",2.81773780029443e-19,"2014-08-31",2,NA
"DZ","wdi_vc_btl_deth",2.82348348875213e-19,"2014-08-31",3,NA
"DZ","wdi_vc_btl_deth",2.85981606838274e-19,"2014-08-31",4,NA
"DZ","wdi_vc_btl_deth",0.000321151029525161,"2014-09-30",1,NA
"DZ","wdi_vc_btl_deth",2.82620632450093e-19,"2014-09-30",4,NA
"DZ","wdi_vc_btl_deth",2.868850783122e-19,"2014-09-30",5,NA
"DZ","wdi_vc_btl_deth",2.93383069911154e-19,"2014-09-30",7,NA
"DZ","wdi_vc_btl_deth",0.000528458540245389,"2014-10-31",1,NA
"DZ","wdi_vc_btl_deth",2.83522096365022e-19,"2014-10-31",5,NA
"DZ","wdi_vc_btl_deth",2.89554248899687e-19,"2014-10-31",7,NA
"DZ","wdi_vc_btl_deth",0.000321614844524195,"2014-11-30",1,NA
"DZ","wdi_vc_btl_deth",2.85006978334435e-19,"2014-11-30",3,NA
"DZ","wdi_vc_btl_deth",2.82746702906077e-19,"2014-11-30",5,NA
"DZ","wdi_vc_btl_deth",0.000214766637389209,"2014-12-31",2,NA
"DZ","wdi_vc_btl_deth",2.83908712448266e-19,"2014-12-31",7,NA
"DZ","wdi_vc_btl_deth",0.000326233572538575,"2015-01-31",1,NA
"DZ","wdi_vc_btl_deth",0.000325494363119962,"2015-01-31",2,NA
"DZ","wdi_vc_btl_deth",0.00061884579050316,"2015-02-28",1,NA
"DZ","wdi_vc_btl_deth",0.0002178572875627,"2015-02-28",2,NA
"DZ","wdi_vc_btl_deth",0.000216726846096488,"2015-02-28",3,NA
"DZ","wdi_vc_btl_deth",0.000107891757876778,"2015-02-28",4,NA
"DZ","wdi_vc_btl_deth",5.71609977395205e-19,"2015-02-28",6,NA
"DZ","wdi_vc_btl_deth",5.59619198366523e-19,"2015-02-28",7,NA
"DZ","wdi_ic_reg_durs",0.00255165864043415,"2015-03-31",1,0.75
"DZ","wdi_ic_reg_durs_fe",0.00274050779189605,"2015-03-31",1,0.5
"DZ","wdi_ic_reg_durs_ma",0.00304309249559767,"2015-03-31",1,0.25
"DZ","wdi_vc_btl_deth",0.000694372167077859,"2015-03-31",1,1
"DZ","wdi_vc_btl_deth",0.000683762478524007,"2015-03-31",2,NA
"DZ","wdi_vc_btl_deth",0.000423533476221969,"2015-03-31",3,NA
