"country","coef","value","date","step","rank"
"EG","ged_count_sb",0.00309941099860791,"2014-06-30",1,NA
"EG","wdi_ic_frm_crim_zs",1.22260409042774e-16,"2014-07-31",2,1
"EG","wdi_ic_frm_metg_zs",1.7406566711175e-16,"2014-07-31",2,0.5
"EG","wdi_ic_frm_crim_zs",2.8000438271972e-16,"2014-08-31",1,1
"EG","wdi_ic_frm_metg_zs",2.65766871733978e-16,"2014-08-31",1,0.5
"EG","ged_count_sb",0.00312016951758094,"2014-08-31",3,NA
"EG","wdi_ic_frm_rsdv_zs",7.06956161949114e-16,"2014-09-30",1,NA
"EG","wdi_ic_frm_crim_zs",2.80040028348966e-16,"2014-10-31",3,NA
"EG","wdi_ic_frm_crim_zs",2.44533558821895e-16,"2014-10-31",5,NA
"EG","wdi_ic_frm_crim_zs",8.22665248324888e-17,"2014-11-30",1,NA
"EG","wdi_ic_frm_crim_zs",2.8005830639894e-16,"2014-11-30",4,NA
"EG","wdi_ic_frm_crim_zs",1.09827154351404e-16,"2014-11-30",5,NA
"EG","wdi_ic_frm_metg_zs",3.72609145135184e-16,"2014-12-31",1,NA
"EG","wdi_ic_frm_crim_zs",1.57042561362773e-16,"2015-01-31",2,NA
"EG","wdi_ic_frm_metg_zs",1.45703033356088e-16,"2015-01-31",4,NA
"EG","wdi_ic_frm_crim_zs",1.38903138791488e-16,"2015-01-31",5,NA
"EG","wdi_ic_frm_metg_zs",9.96951196680826e-17,"2015-01-31",6,NA
"EG","wdi_ic_frm_rsdv_zs",7.07192049997238e-16,"2015-02-28",6,NA
"EG","wdi_ic_frm_crim_zs",3.98978394348565e-16,"2015-03-31",1,NA
"EG","wdi_ic_frm_crim_zs",1.66452606770625e-16,"2015-03-31",2,0.5
"EG","wdi_ic_frm_rsdv_zs",3.38958035605639e-15,"2015-03-31",2,1
"EG","wdi_ic_frm_crim_zs",3.2091529374625e-16,"2015-03-31",3,NA
"EG","wdi_ic_frm_crim_zs",8.21461946108926e-14,"2015-04-30",1,0.5
"EG","vdem_v2svdomaut",1.1295336460895,"2015-04-30",1,1
"EG","wdi_ic_frm_crim_zs",3.99007469202533e-16,"2015-04-30",2,1
"EG","wdi_ic_frm_rsdv_zs",4.06262150460763e-16,"2015-04-30",2,0.5
"EG","wdi_ic_frm_crim_zs",1.57087309706496e-15,"2015-04-30",5,NA
"EG","wdi_ic_frm_crim_zs",6.12663333065775e-14,"2015-05-31",1,1
"EG","vdem_v2svdomaut",0.818591814088707,"2015-05-31",1,0.5
