"country","coef","value","date","step","rank"
"ET","eg_yield",1.19887587835173e-19,"2014-01-31",3,0.5
"ET","egq_yield",5.99437939175863e-20,"2014-01-31",3,1
"ET","eg_yield",6.00629275846558e-20,"2014-01-31",5,1
"ET","egq_yield",3.00314637923279e-20,"2014-01-31",5,0.5
"ET","eg_yield",1.20258209426519e-19,"2014-02-28",6,0.5
"ET","egq_yield",6.01291047132594e-20,"2014-02-28",6,1
"ET","eg_yield",1.18839867121187e-19,"2015-07-31",1,NA
"ET","eg_yield",1.20351818769054e-19,"2015-08-31",3,1
"ET","egq_yield",3.00879546922635e-20,"2015-08-31",3,0.5
"ET","wdi_sp_hou_fema_zs",4.75578112281774e-17,"2015-09-30",1,NA
"ET","eg_yield",1.1842846597958e-19,"2015-09-30",2,NA
"ET","eg_yield",1.1913959181435e-19,"2015-09-30",3,NA
"ET","wdi_sp_hou_fema_zs",4.80725684753127e-17,"2015-10-31",2,NA
"ET","eg_yield",5.96931170899101e-20,"2015-10-31",4,NA
"ET","wdi_sp_hou_fema_zs",4.76054948425424e-17,"2015-11-30",1,NA
"ET","eg_yield",5.9784955170209e-20,"2015-11-30",5,NA
"ET","eg_yield",6.04506062563126e-20,"2015-11-30",6,NA
"ET","wdi_sp_hou_fema_zs",2.38143788172726e-17,"2015-12-31",1,NA
"ET","eg_yield",2.42237586159875e-19,"2015-12-31",7,0.5
"ET","egq_yield",6.05593965399687e-20,"2015-12-31",7,1
"ET","wdi_sp_hou_fema_zs",2.43286990489799e-17,"2016-01-31",3,NA
"ET","eg_yield",5.95984123026009e-20,"2016-01-31",6,NA
"ET","wdi_sp_hou_fema_zs",4.86783622287494e-17,"2016-02-29",3,NA
"ET","wdi_sp_hou_fema_zs",4.98071769120881e-17,"2016-02-29",5,NA
"ET","wdi_sp_hou_fema_zs",2.52133747546566e-17,"2016-02-29",6,NA
"ET","wdi_sp_hou_fema_zs",4.90303812384166e-17,"2016-03-31",2,NA
"ET","wdi_sp_hou_fema_zs",4.9550937451341e-17,"2016-03-31",3,NA
"ET","wdi_sp_hou_fema_zs",9.84902563345069e-17,"2016-03-31",4,NA
"ET","wdi_sp_hou_fema_zs",2.52215695474595e-17,"2016-03-31",6,NA
"ET","wdi_sp_hou_fema_zs",5.11028972879192e-17,"2016-03-31",7,NA
"ET","wdi_sp_hou_fema_zs",1.25310414640473e-16,"2016-04-30",4,NA
"ET","wdi_sp_hou_fema_zs",2.49215478642413e-17,"2016-04-30",5,NA
"ET","wdi_sp_hou_fema_zs",2.5229619449228e-17,"2016-04-30",6,NA
"ET","wdi_sp_hou_fema_zs",5.11169008167172e-17,"2016-04-30",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.67040975328608e-18,"2016-05-31",2,NA
"ET","wdi_sp_hou_fema_zs",2.53644058824886e-17,"2016-05-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.65104494386435e-18,"2016-06-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.71597164404599e-18,"2016-06-30",4,NA
"ET","wdi_sp_hou_fema_zs",5.13676726418567e-17,"2016-06-30",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.48181072308693e-18,"2016-07-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.68166240256454e-18,"2016-08-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.4865652425208e-18,"2016-08-31",5,NA
"ET","wdi_sp_hou_fema_zs",2.60296715164613e-17,"2016-08-31",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.66374460863896e-18,"2016-10-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.66541992377357e-18,"2016-11-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.68728321321287e-18,"2016-11-30",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.73237114401727e-18,"2016-11-30",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.51127651899158e-18,"2016-11-30",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.42316921023317e-18,"2016-12-31",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.49176542050441e-18,"2017-02-28",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.76829270254203e-18,"2017-02-28",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.74892433153504e-18,"2017-03-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.54042055709697e-18,"2017-03-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.75192362563943e-18,"2017-04-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.5525043145382e-18,"2017-05-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.69140396330439e-18,"2017-05-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.80135786801509e-18,"2017-06-30",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.74652319410467e-18,"2017-06-30",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",9.56425320683112e-18,"2017-07-31",2,NA
"ET","wdi_sh_sta_stnt_ma_zs",9.51410286573068e-18,"2018-10-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",1.90725513091773e-17,"2019-05-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",2.8614022939966e-17,"2019-08-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",1.89703000711423e-17,"2019-09-30",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",9.43388671948576e-18,"2019-10-31",7,NA
