"country","coef","value","date","step","rank"
"ET","wdi_sg_dmk_srcr_fn_zs",3.55659411454051e-18,"2014-01-31",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.65578340238313e-18,"2014-03-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.63891509279824e-18,"2014-03-31",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.68280650081916e-18,"2014-04-30",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.70200011545216e-18,"2014-04-30",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.73099775652778e-18,"2014-05-31",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.75609975603415e-18,"2014-05-31",5,NA
"ET","wdi_sp_hou_fema_zs",1.9196218565134e-17,"2014-06-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.71963324653925e-18,"2014-06-30",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.79263997417941e-18,"2014-07-31",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.82044211262896e-18,"2014-07-31",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.75785129024256e-18,"2014-08-31",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.80218284169466e-18,"2014-08-31",6,NA
"ET","wdi_sp_hou_fema_zs",3.9110827406411e-17,"2014-09-30",2,NA
"ET","wdi_sp_hou_fema_zs",2.01204029779366e-17,"2014-09-30",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",7.57735294175639e-18,"2014-09-30",5,NA
"ET","wdi_sp_hou_fema_zs",1.95551988523617e-17,"2014-10-31",2,NA
"ET","wdi_sp_hou_fema_zs",1.98624259409259e-17,"2014-10-31",3,NA
"ET","wdi_sp_hou_fema_zs",2.01155799716786e-17,"2014-10-31",4,NA
"ET","wdi_sp_hou_fema_zs",1.92700209593602e-17,"2014-11-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.77418519999179e-18,"2014-11-30",4,NA
"ET","wdi_sp_hou_fema_zs",1.92714205717359e-17,"2014-12-31",1,NA
"ET","wdi_sp_hou_fema_zs",5.8663897269411e-17,"2015-01-31",2,NA
"ET","wdi_sp_hou_fema_zs",2.01800288338356e-17,"2015-01-31",4,NA
"ET","wdi_sp_hou_fema_zs",1.96029214048806e-17,"2015-02-28",1,NA
"ET","wdi_sp_hou_fema_zs",2.01720285613058e-17,"2015-03-31",4,NA
"ET","wdi_sp_hou_fema_zs",2.05233570331014e-17,"2015-04-30",4,NA
"ET","wdi_sp_hou_fema_zs",2.05198548391849e-17,"2015-05-31",4,NA
"ET","wdi_sp_hou_fema_zs",3.91513152219752e-17,"2015-06-30",1,NA
"ET","wdi_sp_hou_fema_zs",5.95989182320223e-17,"2015-06-30",2,NA
"ET","wdi_sp_hou_fema_zs",4.03502929255735e-17,"2015-06-30",3,NA
"ET","wdi_sp_hou_fema_zs",4.16942534459173e-17,"2015-07-31",5,NA
"ET","wdi_sp_hou_fema_zs",2.04807944997485e-17,"2015-08-31",4,NA
"ET","wdi_sp_hou_fema_zs",4.16626910637023e-17,"2015-08-31",5,NA
"ET","wdi_sp_hou_fema_zs",1.95584693957475e-17,"2015-09-30",1,NA
"ET","wdi_sp_hou_fema_zs",2.04688702684165e-17,"2015-09-30",4,NA
"ET","wdi_sp_hou_fema_zs",2.04567610771253e-17,"2015-10-31",4,NA
"ET","wdi_sp_hou_fema_zs",2.08023871055101e-17,"2015-10-31",5,NA
"ET","wdi_sp_hou_fema_zs",2.11719838095323e-17,"2015-10-31",6,NA
"ET","wdi_sp_hou_fema_zs",2.04448966158789e-17,"2015-11-30",4,NA
"ET","wdi_sp_hou_fema_zs",2.11566792963476e-17,"2015-11-30",6,NA
"ET","wdi_sp_hou_fema_zs",1.98199640019193e-17,"2015-12-31",2,NA
"ET","wdi_sp_hou_fema_zs",2.11390660772986e-17,"2015-12-31",6,NA
"ET","wdi_sp_hou_fema_zs",6.01510341302944e-17,"2016-01-31",1,NA
"ET","wdi_sp_hou_fema_zs",3.96259445074854e-17,"2016-01-31",2,NA
"ET","wdi_sp_hou_fema_zs",4.02144879332708e-17,"2016-01-31",3,NA
"ET","wdi_sp_hou_fema_zs",2.0098375506561e-17,"2016-02-29",3,NA
"ET","wdi_sp_hou_fema_zs",4.14906908499276e-17,"2016-02-29",5,NA
"ET","wdi_sp_hou_fema_zs",2.11049323858672e-17,"2016-02-29",6,NA
"ET","wdi_sp_hou_fema_zs",4.06475304064672e-17,"2016-03-31",2,NA
"ET","wdi_sp_hou_fema_zs",2.06260832170578e-17,"2016-03-31",3,NA
"ET","wdi_sp_hou_fema_zs",2.03997435455518e-17,"2016-03-31",4,NA
"ET","wdi_sp_hou_fema_zs",2.10883895507563e-17,"2016-03-31",6,NA
"ET","wdi_sp_hou_fema_zs",4.29450125613375e-17,"2016-03-31",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.91143857513929e-18,"2016-04-30",2,NA
"ET","wdi_sp_hou_fema_zs",2.06173602260977e-17,"2016-04-30",3,NA
"ET","wdi_sp_hou_fema_zs",6.28144703346882e-17,"2016-04-30",4,NA
"ET","wdi_sp_hou_fema_zs",2.10721819024523e-17,"2016-04-30",6,NA
"ET","wdi_sp_hou_fema_zs",2.1452916298123e-17,"2016-04-30",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.91822718515445e-18,"2016-05-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.94194837343404e-18,"2016-05-31",3,NA
"ET","wdi_sp_hou_fema_zs",2.12683043597548e-17,"2016-05-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.90170513581236e-18,"2016-06-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.92492265107478e-18,"2016-06-30",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.97358062349886e-18,"2016-06-30",4,NA
"ET","wdi_sp_hou_fema_zs",4.32364214728013e-17,"2016-06-30",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.90304201944783e-18,"2016-07-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",8.01279893515526e-18,"2016-07-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.93296333147785e-18,"2016-08-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.98758152879989e-18,"2016-08-31",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.99837378587481e-18,"2017-02-28",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",8.05906394599188e-18,"2017-03-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.05526154120927e-18,"2017-03-31",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.0005967381328e-18,"2017-05-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.1231073677636e-18,"2017-05-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.00131779344873e-18,"2017-06-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.15894265021149e-18,"2017-06-30",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",8.06390677122312e-18,"2017-07-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.03253880302934e-18,"2017-08-31",2,NA
"ET","wdi_sh_sta_stnt_ma_zs",7.85926772171892e-18,"2019-04-30",6,NA
"ET","wdi_sh_sta_stnt_ma_zs",1.57683798496099e-17,"2019-05-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",1.57297207663143e-17,"2019-08-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",7.80415419847304e-18,"2019-09-30",7,NA
