"country","coef","value","date","step","rank"
"ET","eg_yield",9.72572967544155e-20,"2014-01-31",3,0.5
"ET","egq_yield",4.86286483772077e-20,"2014-01-31",3,1
"ET","eg_yield",4.89872892748815e-20,"2014-01-31",6,1
"ET","egq_yield",2.44936446374407e-20,"2014-01-31",6,0.5
"ET","eg_yield",4.88578228770435e-20,"2014-02-28",4,NA
"ET","eg_yield",9.81926615491168e-20,"2014-02-28",6,1
"ET","egq_yield",4.90963307745584e-20,"2014-02-28",6,0.5
"ET","eg_yield",4.8871987557264e-20,"2015-06-30",1,0.5
"ET","egq_yield",2.4435993778632e-20,"2015-06-30",1,1
"ET","eg_yield",4.87453784592974e-20,"2015-07-31",1,NA
"ET","eg_yield",4.88730682030185e-20,"2015-08-31",2,1
"ET","egq_yield",2.44365341015092e-20,"2015-08-31",2,0.5
"ET","wdi_sp_hou_fema_zs",1.95584693957475e-17,"2015-09-30",1,NA
"ET","eg_yield",4.93765859518555e-20,"2015-09-30",4,NA
"ET","eg_yield",9.91009098635744e-20,"2015-10-31",5,0.5
"ET","egq_yield",4.95504549317872e-20,"2015-10-31",5,1
"ET","eg_yield",4.94360212182223e-20,"2015-11-30",5,NA
"ET","eg_yield",4.96946217021843e-20,"2015-11-30",6,NA
"ET","wdi_sp_hou_fema_zs",1.98199640019193e-17,"2015-12-31",2,NA
"ET","eg_yield",9.97871379148258e-20,"2015-12-31",7,1
"ET","egq_yield",2.49467844787065e-20,"2015-12-31",7,0.5
"ET","wdi_sp_hou_fema_zs",6.01510341302944e-17,"2016-01-31",1,NA
"ET","wdi_sp_hou_fema_zs",3.96259445074854e-17,"2016-01-31",2,NA
"ET","wdi_sp_hou_fema_zs",4.02144879332708e-17,"2016-01-31",3,NA
"ET","eg_yield",9.95717246021393e-20,"2016-01-31",7,0.5
"ET","egq_yield",4.97858623010697e-20,"2016-01-31",7,1
"ET","wdi_sp_hou_fema_zs",2.0098375506561e-17,"2016-02-29",3,NA
"ET","wdi_sp_hou_fema_zs",4.14906908499276e-17,"2016-02-29",5,NA
"ET","wdi_sp_hou_fema_zs",2.11049323858672e-17,"2016-02-29",6,NA
"ET","eg_yield",4.98262331713171e-20,"2016-02-29",7,1
"ET","egq_yield",2.49131165856585e-20,"2016-02-29",7,0.5
"ET","wdi_sp_hou_fema_zs",4.06475304064672e-17,"2016-03-31",2,NA
"ET","wdi_sp_hou_fema_zs",2.06260832170578e-17,"2016-03-31",3,NA
"ET","wdi_sp_hou_fema_zs",2.03997435455518e-17,"2016-03-31",4,NA
"ET","wdi_sp_hou_fema_zs",2.10883895507563e-17,"2016-03-31",6,NA
"ET","wdi_sp_hou_fema_zs",4.29450125613375e-17,"2016-03-31",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.91143857513929e-18,"2016-04-30",2,NA
"ET","wdi_sp_hou_fema_zs",2.06173602260977e-17,"2016-04-30",3,NA
"ET","wdi_sp_hou_fema_zs",6.28144703346882e-17,"2016-04-30",4,NA
"ET","wdi_sp_hou_fema_zs",2.10721819024523e-17,"2016-04-30",6,NA
"ET","wdi_sp_hou_fema_zs",2.1452916298123e-17,"2016-04-30",7,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.91822718515445e-18,"2016-05-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.94194837343404e-18,"2016-05-31",3,NA
"ET","wdi_sp_hou_fema_zs",2.12683043597548e-17,"2016-05-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.90170513581236e-18,"2016-06-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.92492265107478e-18,"2016-06-30",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.97358062349886e-18,"2016-06-30",4,NA
"ET","wdi_sp_hou_fema_zs",4.32364214728013e-17,"2016-06-30",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.90304201944783e-18,"2016-07-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",8.01279893515526e-18,"2016-07-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.93296333147785e-18,"2016-08-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.98758152879989e-18,"2016-08-31",4,NA
"ET","wdi_sg_dmk_srcr_fn_zs",3.99837378587481e-18,"2017-02-28",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",8.05906394599188e-18,"2017-03-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.05526154120927e-18,"2017-03-31",3,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.0005967381328e-18,"2017-05-31",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.1231073677636e-18,"2017-05-31",5,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.00131779344873e-18,"2017-06-30",1,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.15894265021149e-18,"2017-06-30",6,NA
"ET","wdi_sg_dmk_srcr_fn_zs",8.06390677122312e-18,"2017-07-31",2,NA
"ET","wdi_sg_dmk_srcr_fn_zs",4.03253880302934e-18,"2017-08-31",2,NA
"ET","wdi_sh_sta_stnt_ma_zs",7.85926772171892e-18,"2019-04-30",6,NA
"ET","wdi_sh_sta_stnt_ma_zs",1.57683798496099e-17,"2019-05-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",1.57297207663143e-17,"2019-08-31",7,NA
"ET","wdi_sh_sta_stnt_ma_zs",7.80415419847304e-18,"2019-09-30",7,NA
