"country","coef","value","date","step","rank"
"KE","m_investigate",6.25631161728429e-20,"2014-01-31",2,NA
"KE","e_fight",9.80976421576711e-20,"2014-01-31",4,NA
"KE","e_fight",9.06303774863188e-20,"2014-01-31",6,NA
"KE","m_investigate",4.22766565675044e-20,"2014-02-28",1,NA
"KE","m_investigate",4.27388198190406e-20,"2014-02-28",2,NA
"KE","m_investigate",4.32584300788564e-20,"2014-02-28",4,NA
"KE","m_investigate",6.26269461507322e-20,"2014-03-31",4,NA
"KE","m_investigate",2.16555529842954e-20,"2014-03-31",5,NA
"KE","e_fight",9.83178578972718e-20,"2014-03-31",6,NA
"KE","m_investigate",4.22046817328907e-20,"2014-04-30",1,NA
"KE","m_investigate",4.2781849191325e-20,"2014-04-30",4,NA
"KE","m_investigate",4.18031821342298e-20,"2014-04-30",5,NA
"KE","m_investigate",4.35441886335785e-20,"2014-05-31",1,NA
"KE","m_investigate",4.23479174404893e-20,"2014-05-31",3,NA
"KE","m_investigate",4.18371140663211e-20,"2014-05-31",6,NA
"KE","m_investigate",4.22779568528332e-20,"2014-06-30",3,NA
"KE","m_investigate",4.23741809382879e-20,"2014-06-30",4,NA
"KE","m_investigate",4.24324383873771e-20,"2014-06-30",5,NA
"KE","m_investigate",6.28074635064084e-20,"2014-06-30",7,NA
"KE","wdi_en_pop_slum_ur_zs",8.61024709791213e-17,"2014-07-31",2,NA
"KE","m_investigate",4.24680667276357e-20,"2014-07-31",6,NA
"KE","m_investigate",4.29023927996407e-20,"2014-07-31",7,NA
"KE","wdi_en_pop_slum_ur_zs",3.47743358116717e-16,"2014-08-31",2,NA
"KE","wdi_en_pop_slum_ur_zs",8.62080902729811e-17,"2014-08-31",3,NA
"KE","wdi_ic_elc_durs",3.3623768185087e-17,"2014-09-30",2,NA
"KE","wdi_en_pop_slum_ur_zs",1.74082870470686e-16,"2014-09-30",3,NA
"KE","wdi_en_pop_slum_ur_zs",1.73934717445508e-16,"2014-10-31",2,NA
"KE","wdi_en_pop_slum_ur_zs",1.74298715080745e-16,"2014-10-31",4,NA
"KE","wdi_en_pop_slum_ur_zs",8.64264003574592e-17,"2014-10-31",5,NA
"KE","wdi_en_pop_slum_ur_zs",1.70367822116512e-16,"2014-11-30",2,NA
"KE","wdi_en_pop_slum_ur_zs",1.74149603146859e-16,"2014-11-30",3,NA
"KE","wdi_ic_elc_durs",3.36987857758259e-17,"2014-11-30",4,NA
"KE","m_investigate",2.18798239067403e-20,"2014-11-30",7,NA
"KE","wdi_en_pop_slum_ur_zs",1.68564905551931e-16,"2014-12-31",1,NA
"KE","wdi_en_pop_slum_ur_zs",1.74369200758252e-16,"2014-12-31",4,NA
"KE","wdi_en_pop_slum_ur_zs",2.48453319190657e-16,"2015-01-31",1,NA
"KE","wdi_en_pop_slum_ur_zs",1.67285449097159e-16,"2015-01-31",3,NA
"KE","wdi_en_pop_slum_ur_zs",1.6750692490426e-16,"2015-02-28",4,NA
"KE","wdi_en_pop_slum_ur_zs",1.64684134327562e-16,"2015-03-31",1,NA
"KE","wdi_en_pop_slum_ur_zs",1.66069419856391e-16,"2015-03-31",3,NA
"KE","wdi_en_pop_slum_ur_zs",1.71259735058308e-16,"2015-03-31",6,NA
"KE","wdi_en_pop_slum_ur_zs",1.64846873406196e-16,"2015-04-30",1,NA
"KE","wdi_en_pop_slum_ur_zs",1.67745167676307e-16,"2015-04-30",3,NA
"KE","wdi_en_pop_slum_ur_zs",1.69445763748276e-16,"2015-04-30",5,NA
"KE","wdi_en_pop_slum_ur_zs",8.39823415436171e-17,"2015-04-30",6,NA
"KE","wdi_en_pop_slum_ur_zs",1.62497267189429e-16,"2015-05-31",1,NA
"KE","wdi_en_pop_slum_ur_zs",1.65064118982143e-16,"2015-05-31",2,NA
"KE","wdi_en_pop_slum_ur_zs",1.62716556453698e-16,"2015-06-30",2,NA
"KE","wdi_en_pop_slum_ur_zs",8.26755672438886e-17,"2015-06-30",4,NA
"KE","wdi_en_pop_slum_ur_zs",1.68191008032541e-16,"2015-07-31",1,NA
"KE","wdi_en_pop_slum_ur_zs",1.61423504682846e-16,"2015-07-31",2,NA
"KE","wdi_en_pop_slum_ur_zs",1.62940524429269e-16,"2015-07-31",3,NA
"KE","wdi_en_pop_slum_ur_zs",1.68435863621649e-16,"2015-07-31",6,NA
"KE","wdi_en_pop_slum_ur_zs",8.15846615616187e-17,"2015-08-31",4,NA
"KE","wdi_en_pop_slum_ur_zs",1.65744345593999e-16,"2015-08-31",5,NA
"KE","wdi_en_pop_slum_ur_zs",1.65820390821113e-16,"2015-08-31",6,NA
"KE","wdi_en_pop_slum_ur_zs",1.6867642445468e-16,"2015-08-31",7,NA
"KE","wdi_en_pop_slum_ur_zs",1.618735833877e-16,"2015-09-30",4,NA
"KE","wdi_en_pop_slum_ur_zs",2.45104666840115e-16,"2015-09-30",5,NA
"KE","wdi_en_pop_slum_ur_zs",3.31962222653483e-16,"2015-09-30",6,NA
"KE","wdi_en_pop_slum_ur_zs",3.32125786043276e-16,"2015-09-30",7,NA
"KE","wdi_en_pop_slum_ur_zs",0.0712874257648221,"2015-10-31",2,NA
"KE","wdi_en_pop_slum_ur_zs",2.45463081731808e-16,"2015-10-31",6,NA
"KE","wdi_en_pop_slum_ur_zs",1.65117002667344e-16,"2015-11-30",1,NA
"KE","wdi_en_pop_slum_ur_zs",0.104858317411209,"2015-11-30",2,NA
"KE","wdi_en_pop_slum_ur_zs",0.0364693970720592,"2015-11-30",3,NA
"KE","wdi_en_pop_slum_ur_zs",1.63886326109882e-16,"2015-11-30",7,NA
