"country","coef","value","date","step","rank"
"ML","ged_count_sb",0.0421486792739282,"2014-01-31",1,0.857142857142857
"ML","ged_count_os",0.0537377667180112,"2014-01-31",1,0.428571428571429
"ML","ged_dummy_os",0.214691217893791,"2014-01-31",1,0.285714285714286
"ML","acled_count_sb",0.00112825211638433,"2014-01-31",1,1
"ML","wdi_ny_adj_dfor_cd",5.34857225893175e-11,"2014-01-31",1,0.571428571428571
"ML","wdi_sh_dyn_aids_fe_zs",0.198805709465597,"2014-01-31",1,0.142857142857143
"ML","wdi_vc_btl_deth",4.2152102900709e-05,"2014-01-31",1,0.714285714285714
"ML","ged_count_sb",0.0387191181267412,"2014-01-31",2,0.8
"ML","ged_count_os",0.0192585912716448,"2014-01-31",2,0.4
"ML","ged_dummy_os",0.0688438676158303,"2014-01-31",2,0.2
"ML","acled_count_sb",0.00167174991687409,"2014-01-31",2,1
"ML","wdi_sh_dyn_aids_fe_zs",0.0164005442331024,"2014-01-31",2,0.6
"ML","ged_count_sb",0.0412286281696384,"2014-01-31",3,1
"ML","ged_count_os",0.0352499026814181,"2014-01-31",3,0.4
"ML","ged_dummy_os",0.10551906538657,"2014-01-31",3,0.2
"ML","acled_count_sb",0.00180133548082902,"2014-01-31",3,0.8
"ML","wdi_sh_dyn_aids_fe_zs",0.0341082257177337,"2014-01-31",3,0.6
"ML","ged_count_sb",0.034660553774491,"2014-01-31",4,1
"ML","ged_count_os",0.0184667854049485,"2014-01-31",4,0.666666666666667
"ML","ged_dummy_os",0.0730012969570652,"2014-01-31",4,0.333333333333333
"ML","ged_count_sb",0.0340812983412712,"2014-01-31",5,1
"ML","ged_count_os",0.0205483311064057,"2014-01-31",5,0.666666666666667
"ML","ged_dummy_os",0.0821672901089927,"2014-01-31",5,0.333333333333333
"ML","ged_count_sb",0.025758787376551,"2014-01-31",6,1
"ML","ged_dummy_os",0.0120712014487091,"2014-01-31",6,0.5
"ML","ged_count_sb",0.0279522975430803,"2014-01-31",7,1
"ML","ged_count_os",0.00256261270282224,"2014-01-31",7,0.5
"ML","ged_dummy_os",0.0421496903820128,"2014-01-31",7,0.25
"ML","wdi_vc_btl_deth",0.000103150733309024,"2014-01-31",7,0.75
"ML","ged_count_sb",0.037493981901934,"2014-02-28",1,1
"ML","ged_count_os",0.0374832377085234,"2014-02-28",1,0.285714285714286
"ML","ged_dummy_os",0.174919225333634,"2014-02-28",1,0.428571428571429
"ML","acled_count_sb",0.00154151227255463,"2014-02-28",1,0.857142857142857
"ML","wdi_ny_adj_dfor_cd",2.98165032062581e-11,"2014-02-28",1,0.571428571428571
"ML","wdi_sh_dyn_aids_fe_zs",0.20752093753074,"2014-02-28",1,0.142857142857143
"ML","wdi_vc_btl_deth",7.32964571804094e-05,"2014-02-28",1,0.714285714285714
"ML","ged_count_sb",0.0403153384147471,"2014-02-28",2,1
"ML","ged_count_os",0.0439091823424798,"2014-02-28",2,0.5
"ML","ged_dummy_os",0.193079399180668,"2014-02-28",2,0.166666666666667
"ML","acled_count_sb",0.00084155606060554,"2014-02-28",2,0.833333333333333
"ML","wdi_sh_dyn_aids_fe_zs",0.180661410821419,"2014-02-28",2,0.333333333333333
"ML","wdi_vc_btl_deth",3.37231746808947e-05,"2014-02-28",2,0.666666666666667
"ML","ged_count_sb",0.0326027882919748,"2014-02-28",3,1
"ML","ged_dummy_os",0.0073503271711119,"2014-02-28",3,0.5
"ML","ged_count_sb",0.0386967537658901,"2014-02-28",4,1
"ML","ged_count_os",0.0245822394132039,"2014-02-28",4,0.5
"ML","ged_dummy_os",0.0798946152283707,"2014-02-28",4,0.25
"ML","acled_count_sb",0.00115568457585671,"2014-02-28",4,0.75
"ML","ged_count_sb",0.0451470289201211,"2014-02-28",5,1
"ML","ged_count_os",0.0575518903035547,"2014-02-28",5,0.5
"ML","ged_dummy_os",0.151689299805223,"2014-02-28",5,0.25
"ML","acled_count_sb",0.000743300145801832,"2014-02-28",5,0.75
"ML","ged_count_sb",0.030076730513333,"2014-02-28",6,1
"ML","ged_count_os",0.00644337378673244,"2014-02-28",6,0.666666666666667
"ML","ged_dummy_os",0.051824355995887,"2014-02-28",6,0.333333333333333
"ML","ged_count_sb",0.0257394568041067,"2014-02-28",7,1
"ML","ged_dummy_os",0.0114514028129191,"2014-02-28",7,0.5
"ML","ged_count_sb",0.0363291385942641,"2014-03-31",1,0.8
"ML","ged_count_os",0.0294015706228229,"2014-03-31",1,0.4
"ML","ged_dummy_os",0.166882395155732,"2014-03-31",1,0.2
"ML","acled_count_sb",0.00157950616610589,"2014-03-31",1,1
"ML","wdi_vc_btl_deth",0.000169949970592296,"2014-03-31",1,0.6
"ML","ged_count_sb",0.0337546822567926,"2014-03-31",2,0.833333333333333
"ML","ged_count_os",0.0165025209567616,"2014-03-31",2,0.5
"ML","ged_dummy_os",0.127769014121104,"2014-03-31",2,0.166666666666667
"ML","acled_count_sb",0.00078050642838884,"2014-03-31",2,1
"ML","wdi_sh_dyn_aids_fe_zs",0.153958935111803,"2014-03-31",2,0.333333333333333
"ML","wdi_vc_btl_deth",4.54564506678149e-05,"2014-03-31",2,0.666666666666667
"ML","ged_count_sb",0.0383716031410133,"2014-03-31",3,1
"ML","ged_count_os",0.0341240500745281,"2014-03-31",3,0.5
"ML","ged_dummy_os",0.170123753398864,"2014-03-31",3,0.333333333333333
"ML","acled_count_sb",0.00043155659735885,"2014-03-31",3,0.833333333333333
"ML","wdi_sh_dyn_aids_fe_zs",0.14231932065108,"2014-03-31",3,0.166666666666667
"ML","wdi_vc_btl_deth",8.34433075022264e-06,"2014-03-31",3,0.666666666666667
"ML","ged_count_sb",0.0389320740373222,"2014-03-31",4,0.8
"ML","ged_count_os",0.0204265548451473,"2014-03-31",4,0.4
"ML","ged_dummy_os",0.0675668020075196,"2014-03-31",4,0.2
"ML","acled_count_sb",0.00165764697101746,"2014-03-31",4,1
"ML","wdi_sh_dyn_aids_fe_zs",0.00202209125179552,"2014-03-31",4,0.6
"ML","ged_count_sb",0.0433230859922679,"2014-03-31",5,0.8
"ML","ged_count_os",0.0460944697783411,"2014-03-31",5,0.4
"ML","ged_dummy_os",0.126709923097904,"2014-03-31",5,0.2
"ML","acled_count_sb",0.00257580375277161,"2014-03-31",5,1
"ML","wdi_sh_dyn_aids_fe_zs",0.0680145584822859,"2014-03-31",5,0.6
"ML","ged_count_sb",0.0422237130556068,"2014-03-31",6,1
"ML","ged_count_os",0.0465853455157657,"2014-03-31",6,0.5
"ML","ged_dummy_os",0.125037813458966,"2014-03-31",6,0.25
"ML","acled_count_sb",3.71140069515995e-05,"2014-03-31",6,0.75
"ML","ged_count_sb",0.0339972998445505,"2014-03-31",7,1
"ML","ged_count_os",0.0211662464650074,"2014-03-31",7,0.666666666666667
"ML","ged_dummy_os",0.0799192648081783,"2014-03-31",7,0.333333333333333
"ML","ged_count_sb",0.0367045808134136,"2014-04-30",1,0.857142857142857
"ML","ged_count_os",0.0378911707032663,"2014-04-30",1,0.428571428571429
"ML","ged_dummy_os",0.178455232843834,"2014-04-30",1,0.285714285714286
"ML","acled_count_sb",0.00255167280865927,"2014-04-30",1,1
"ML","wdi_ny_adj_dfor_cd",2.26891000161876e-10,"2014-04-30",1,0.571428571428571
"ML","wdi_sh_dyn_aids_fe_zs",0.0182216925228247,"2014-04-30",1,0.142857142857143
"ML","wdi_vc_btl_deth",0.000194484724533836,"2014-04-30",1,0.714285714285714
"ML","ged_count_sb",0.0342522450641769,"2014-04-30",2,1
"ML","ged_count_os",0.0189018723438616,"2014-04-30",2,0.4
"ML","ged_dummy_os",0.14059939116454,"2014-04-30",2,0.2
"ML","acled_count_sb",0.00106070857467435,"2014-04-30",2,0.8
"ML","wdi_vc_btl_deth",0.000120297998911371,"2014-04-30",2,0.6
"ML","ged_count_sb",0.0317491080164225,"2014-04-30",3,1
"ML","ged_count_os",0.0060350702759536,"2014-04-30",3,0.5
"ML","ged_dummy_os",0.102908373887704,"2014-04-30",3,0.166666666666667
"ML","acled_count_sb",0.000284235350061872,"2014-04-30",3,0.833333333333333
"ML","wdi_sh_dyn_aids_fe_zs",0.115006227387998,"2014-04-30",3,0.333333333333333
"ML","wdi_vc_btl_deth",1.64393718495531e-05,"2014-04-30",3,0.666666666666667
"ML","ged_count_sb",0.0331063852600663,"2014-04-30",4,1
"ML","ged_count_os",0.0115069314188262,"2014-04-30",4,0.5
"ML","ged_dummy_os",0.121142977275613,"2014-04-30",4,0.25
"ML","wdi_sh_dyn_aids_fe_zs",0.0391928087544179,"2014-04-30",4,0.75
"ML","ged_count_sb",0.0355323401275938,"2014-04-30",5,1
"ML","ged_count_os",0.00807715743978005,"2014-04-30",5,0.5
