"country","coef","value","date","step","rank"
"MR","icgcw_deteriorated",3.78967050761234e-16,"2014-01-31",3,NA
"MR","icgcw_deteriorated",7.57381504215137e-16,"2014-01-31",6,NA
"MR","icgcw_deteriorated",3.78832660371126e-16,"2014-02-28",5,NA
"MR","icgcw_deteriorated",3.78738928763641e-16,"2014-02-28",6,NA
"MR","icgcw_deteriorated",3.78967050761234e-16,"2014-03-31",4,NA
"MR","icgcw_deteriorated",7.57381504215137e-16,"2014-03-31",7,NA
"MR","icgcw_deteriorated",7.58020558552504e-16,"2014-04-30",4,NA
"MR","icgcw_deteriorated",3.78738928763641e-16,"2014-04-30",7,NA
"MR","icgcw_deteriorated",7.58431094854242e-16,"2014-05-31",2,NA
"MR","icgcw_deteriorated",3.78967050761234e-16,"2014-05-31",5,NA
"MR","icgcw_deteriorated",7.58661298439485e-16,"2014-06-30",1,NA
"MR","icgcw_deteriorated",3.79367771380646e-16,"2014-07-31",1,NA
"MR","icgcw_deteriorated",7.58431094854242e-16,"2014-07-31",3,NA
"MR","icgcw_deteriorated",3.78967050761234e-16,"2014-07-31",6,NA
"MR","icgcw_deteriorated",3.79330649219742e-16,"2014-08-31",2,NA
"MR","icgcw_deteriorated",7.58509105547904e-16,"2014-08-31",3,NA
"MR","icgcw_deteriorated",3.79367771380646e-16,"2014-09-30",2,NA
"MR","icgcw_deteriorated",7.58431094854242e-16,"2014-09-30",4,NA
"MR","icgcw_deteriorated",3.79330649219742e-16,"2014-10-31",3,NA
"MR","icgcw_deteriorated",7.58509105547904e-16,"2014-10-31",4,NA
"MR","icgcw_deteriorated",7.59020851768102e-16,"2014-11-30",1,NA
"MR","icgcw_deteriorated",3.79367771380646e-16,"2014-11-30",3,NA
"MR","icgcw_deteriorated",7.58431094854242e-16,"2014-11-30",5,NA
"MR","icgcw_deteriorated",3.79052757668884e-16,"2014-11-30",7,NA
"MR","icgcw_deteriorated",3.79330649219742e-16,"2014-12-31",4,NA
"MR","icgcw_deteriorated",7.58509105547904e-16,"2014-12-31",5,NA
"MR","icgcw_deteriorated",3.79578442226852e-16,"2015-01-31",1,NA
"MR","icgcw_deteriorated",7.58585829551555e-16,"2015-01-31",5,NA
"MR","icgcw_deteriorated",3.79330649219742e-16,"2015-02-28",5,NA
"MR","icgcw_deteriorated",7.58509105547904e-16,"2015-02-28",6,NA
"MR","icgcw_deteriorated",3.79578442226852e-16,"2015-03-31",2,NA
