"country","coef","value","date","step","rank"
"MR","icgcw_deteriorated",2.17788826482478e-16,"2014-01-31",2,NA
"MR","icgcw_deteriorated",2.17694173031301e-16,"2014-01-31",4,NA
"MR","icgcw_deteriorated",2.17669432953011e-16,"2014-02-28",5,NA
"MR","icgcw_deteriorated",2.17565799695087e-16,"2014-02-28",7,NA
"MR","icgcw_deteriorated",4.35754221268081e-16,"2014-03-31",1,NA
"MR","icgcw_deteriorated",2.17788826482478e-16,"2014-03-31",3,NA
"MR","icgcw_deteriorated",2.17694173031301e-16,"2014-03-31",5,NA
"MR","icgcw_deteriorated",6.53297359373873e-16,"2014-04-30",4,NA
"MR","icgcw_deteriorated",2.17669432953011e-16,"2014-04-30",6,NA
"MR","icgcw_deteriorated",2.17788826482478e-16,"2014-05-31",4,NA
"MR","icgcw_deteriorated",2.17694173031301e-16,"2014-05-31",6,NA
"MR","icgcw_deteriorated",4.35879042254871e-16,"2014-06-30",1,NA
"MR","icgcw_deteriorated",4.35531572915915e-16,"2014-06-30",5,NA
"MR","icgcw_deteriorated",2.17669432953011e-16,"2014-06-30",7,NA
"MR","icgcw_deteriorated",2.17788826482478e-16,"2014-07-31",5,NA
"MR","icgcw_deteriorated",2.17694173031301e-16,"2014-07-31",7,NA
"MR","icgcw_deteriorated",2.17811468878251e-16,"2014-08-31",5,NA
"MR","icgcw_deteriorated",4.35531572915915e-16,"2014-08-31",6,NA
"MR","icgcw_deteriorated",4.35838123617219e-16,"2014-09-30",3,NA
"MR","icgcw_deteriorated",2.17788826482478e-16,"2014-09-30",6,NA
"MR","icgcw_deteriorated",2.17811468878251e-16,"2014-10-31",6,NA
"MR","icgcw_deteriorated",4.35531572915915e-16,"2014-10-31",7,NA
"MR","icgcw_deteriorated",2.17959647470671e-16,"2014-11-30",3,NA
"MR","icgcw_deteriorated",4.35838123617219e-16,"2014-11-30",4,NA
"MR","icgcw_deteriorated",2.17811468878251e-16,"2014-12-31",7,NA
"MR","icgcw_deteriorated",2.18073847074674e-16,"2015-01-31",1,NA
"MR","icgcw_deteriorated",4.3583812361722e-16,"2015-01-31",5,NA
"MR","icgcw_deteriorated",4.35754221268081e-16,"2015-01-31",6,NA
"MR","icgcw_deteriorated",2.18109586951407e-16,"2015-03-31",1,NA
"MR","icgcw_deteriorated",2.18073847074674e-16,"2015-03-31",2,NA
"MR","icgcw_deteriorated",4.36073961085101e-16,"2015-03-31",3,NA
"MR","icgcw_deteriorated",4.3583812361722e-16,"2015-03-31",6,NA
"MR","icgcw_deteriorated",4.35754221268081e-16,"2015-03-31",7,NA
"MR","icgcw_deteriorated",2.18144251043297e-16,"2015-05-31",1,NA
"MR","icgcw_deteriorated",2.18109586951407e-16,"2015-05-31",2,NA
"MR","icgcw_deteriorated",2.18073847074674e-16,"2015-05-31",3,NA
"MR","icgcw_deteriorated",4.36073961085101e-16,"2015-05-31",4,NA
"MR","icgcw_deteriorated",2.18109586951407e-16,"2015-07-31",3,NA
"MR","icgcw_deteriorated",2.18073847074674e-16,"2015-07-31",4,NA
"MR","icgcw_deteriorated",2.17979448901711e-16,"2015-08-31",7,NA
"MR","icgcw_deteriorated",2.18109586951407e-16,"2015-09-30",4,NA
"MR","icgcw_deteriorated",2.18073847074674e-16,"2015-09-30",5,NA
"MR","icgcw_deteriorated",2.18242253360999e-16,"2015-11-30",1,NA
"MR","icgcw_deteriorated",2.18210540489201e-16,"2015-11-30",2,NA
"MR","icgcw_deteriorated",2.18073847074674e-16,"2015-11-30",6,NA
"MR","icgcw_deteriorated",2.18226511919223e-16,"2015-12-31",2,NA
"MR","icgcw_deteriorated",2.18194333993397e-16,"2015-12-31",3,NA
"MR","icgcw_deteriorated",2.18091854592117e-16,"2015-12-31",6,NA
