"country","coef","value","date","step","rank"
"MZ","wdi_ms_mil_mprt_kd",9.60658152514661e-24,"2014-01-31",1,NA
"MZ","m_assault",1.50022280977376e-19,"2014-01-31",6,NA
"MZ","m_assault",3.0028861947904e-19,"2014-02-28",7,NA
"MZ","wdi_ms_mil_mprt_kd",1.9809717084294e-23,"2014-03-31",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.92058116701577e-23,"2014-03-31",3,NA
"MZ","wdi_ms_mil_mprt_kd",1.92020383405462e-23,"2014-04-30",4,NA
"MZ","vdem_v2x_execorr",8.18644945300522e-14,"2014-06-30",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.97972821107947e-23,"2014-06-30",5,NA
"MZ","wdi_ms_mil_mprt_kd",3.92119000758717e-09,"2014-07-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",3.95859759962844e-23,"2014-07-31",6,NA
"MZ","wdi_ms_mil_mprt_kd",3.06427040552113e-23,"2014-08-31",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.97886159407802e-23,"2014-08-31",7,NA
"MZ","wdi_ms_mil_mprt_kd",3.91693889717562e-09,"2014-09-30",3,NA
"MZ","wdi_ms_mil_mprt_kd",1.71620042465014e-23,"2014-10-31",7,NA
"MZ","vdem_v2x_execorr",8.09083140687687e-14,"2014-11-30",6,NA
"MZ","wdi_ms_mil_mprt_kd",1.46590178475965e-23,"2014-12-31",5,NA
"MZ","wdi_ms_mil_mprt_kd",3.9102792650186e-09,"2014-12-31",6,NA
"MZ","vdem_v2xcs_ccsi",6.27568976503247e-15,"2015-03-31",1,NA
"MZ","vdem_v2csprtcpt",2.77965284331418e-16,"2015-03-31",6,NA
"MZ","vdem_v2xcs_ccsi",6.28010832423298e-15,"2015-05-31",2,NA
"MZ","vdem_v2xcs_ccsi",6.28155883242083e-15,"2015-05-31",3,NA
"MZ","vdem_v2xcs_ccsi",6.2815951614637e-15,"2015-06-30",2,NA
"MZ","vdem_v2xcs_ccsi",6.28131240969678e-15,"2015-07-31",1,NA
"MZ","vdem_v2xcs_ccsi",6.28764666013052e-15,"2015-07-31",5,NA
"MZ","vdem_v2xcs_ccsi",6.28399577422257e-15,"2015-09-30",1,NA
"MZ","vdem_v2xcs_ccsi",6.29258409074321e-15,"2015-09-30",6,NA
"MZ","vdem_v2xcs_ccsi",1.25879314408555e-14,"2015-09-30",7,NA
"MZ","vdem_v2xcs_ccsi",6.29585022088471e-15,"2015-10-31",7,NA
"MZ","vdem_v2xcs_ccsi",1.25731978680679e-14,"2015-11-30",1,NA
"MZ","vdem_v2xcs_ccsi",6.29260171762159e-15,"2015-11-30",4,NA
"MZ","vdem_v2xcs_ccsi",6.29783435400198e-15,"2015-12-31",6,NA
"MZ","vdem_v2xcs_ccsi",6.29138167150601e-15,"2016-01-31",2,NA
"MZ","vdem_v2xcs_ccsi",6.29952918027493e-15,"2016-01-31",6,NA
"MZ","vdem_v2xcs_ccsi",6.29920774346488e-15,"2016-02-29",5,NA
"MZ","vdem_v2xcl_prpty",2.11424744239844e-15,"2016-03-31",1,NA
"MZ","vdem_v2xcs_ccsi",6.29399278519821e-15,"2016-03-31",2,NA
"MZ","vdem_v2xcs_ccsi",6.29858669030761e-15,"2016-03-31",4,NA
"MZ","vdem_v2xcs_ccsi",6.30002683188081e-15,"2016-04-30",4,NA
"MZ","vdem_v2xcs_ccsi",6.30604909797029e-15,"2016-05-31",6,NA
"MZ","vdem_v2xcs_ccsi",6.30822259821737e-15,"2016-05-31",7,NA
"MZ","vdem_v2xcl_prpty",2.23266572101993e-15,"2016-06-30",1,NA
"MZ","vdem_v2xcl_prpty",2.12266178770933e-15,"2016-06-30",4,NA
"MZ","vdem_v2xcs_ccsi",6.30526980148584e-15,"2016-06-30",5,NA
"MZ","vdem_v2xcs_ccsi",6.30761718609192e-15,"2016-06-30",6,NA
"MZ","vdem_v2xcs_ccsi",6.30988117658852e-15,"2016-06-30",7,NA
"MZ","vdem_v2xcl_prpty",4.47131937664683e-15,"2016-07-31",2,NA
"MZ","wdi_ic_bus_ndns_zs",8.02716910700644e-17,"2016-07-31",4,NA
"MZ","vdem_v2xcl_prpty",4.4774225537995e-15,"2016-08-31",3,NA
"MZ","vdem_v2xcl_prpty",2.12185657925214e-15,"2016-09-30",1,NA
"MZ","vdem_v2xcl_prpty",2.15938417597174e-15,"2016-09-30",2,NA
"MZ","wdi_ic_bus_ndns_zs",2.41507647841765e-16,"2016-09-30",6,NA
"MZ","vdem_v2xcl_prpty",6.48723824094455e-15,"2016-10-31",3,NA
"MZ","vdem_v2xcl_prpty",2.0784182677637e-15,"2016-11-30",1,NA
"MZ","vdem_v2xcl_prpty",4.33099966891402e-15,"2016-11-30",4,NA
"MZ","vdem_v2xcl_prpty",4.41107964672673e-15,"2016-11-30",5,NA
"MZ","vdem_v2xcl_prpty",4.49645798425382e-15,"2016-11-30",6,NA
"MZ","vdem_v2xcl_prpty",2.04930444441478e-15,"2016-12-31",1,NA
"MZ","vdem_v2xcl_prpty",4.41752076592251e-15,"2016-12-31",6,NA
"MZ","vdem_v2xcl_prpty",4.26812039492931e-15,"2017-01-31",5,NA
"MZ","vdem_v2xcl_prpty",4.4240904945477e-15,"2017-01-31",7,NA
"MZ","vdem_v2clprptym",1.07863914707116e-15,"2017-02-28",2,NA
"MZ","vdem_v2xcl_prpty",4.11047125902229e-15,"2017-02-28",3,NA
"MZ","vdem_v2xcl_prpty",4.35025952805102e-15,"2017-02-28",7,NA
"MZ","vdem_v2clprptym",1.0757525588482e-15,"2017-03-31",1,NA
"MZ","vdem_v2clprptym",1.07640447996137e-15,"2017-03-31",2,NA
"MZ","vdem_v2xcl_prpty",4.11657275669391e-15,"2017-03-31",4,NA
"MZ","vdem_v2xcl_prpty",4.18102698394691e-15,"2017-03-31",5,NA
"MZ","vdem_v2xcl_prpty",4.28105060968486e-15,"2017-03-31",7,NA
"MZ","vdem_v2xcl_prpty",2.06139610629467e-15,"2017-04-30",5,NA
"MZ","vdem_v2clprptym",1.0746393280141e-15,"2017-04-30",7,NA
"MZ","vdem_v2clprptym",5.37756072319087e-16,"2017-05-31",3,NA
"MZ","vdem_v2clprptym",5.38082625691411e-16,"2017-05-31",4,NA
"MZ","vdem_v2xcl_prpty",4.12913310266031e-15,"2017-05-31",6,NA
"MZ","vdem_v2clprptym",5.367591134945e-16,"2017-06-30",1,NA
"MZ","vdem_v2clprptym",1.0738754942955e-15,"2017-08-31",4,NA
"MZ","vdem_v2clprptym",1.07195759922025e-15,"2017-09-30",2,NA
"MZ","vdem_v2clprptym",1.07374679825654e-15,"2017-09-30",5,NA
"MZ","vdem_v2clprptym",1.07437120633749e-15,"2017-09-30",6,NA
"MZ","vdem_v2clprptym",1.07501069079508e-15,"2017-09-30",7,NA
"MZ","vdem_v2clprptym",1.07125669653873e-15,"2017-10-31",2,NA
"MZ","vdem_v2clprptym",1.07182693716335e-15,"2017-10-31",3,NA
"MZ","vdem_v2clprptym",5.36204952317811e-16,"2017-10-31",4,NA
"MZ","vdem_v2clprptym",1.07300616137434e-15,"2017-10-31",5,NA
"MZ","vdem_v2clprptym",1.07424096380076e-15,"2017-10-31",7,NA
"MZ","vdem_v2clprptym",1.07169451464872e-15,"2017-11-30",4,NA
"MZ","vdem_v2clprptym",5.34608869873797e-16,"2018-01-31",2,NA
"MZ","vdem_v2clprptym",1.06975176063876e-15,"2018-01-31",3,NA
"MZ","vdem_v2clprptym",5.35148592791069e-16,"2018-01-31",4,NA
"MZ","vdem_v2clprptym",5.35427253227826e-16,"2018-01-31",5,NA
"MZ","vdem_v2clprptym",1.11071882464309e-15,"2018-02-28",1,NA
"MZ","vdem_v2clprptym",5.34540567632967e-16,"2018-02-28",3,NA
"MZ","vdem_v2clprptym",1.06961472829273e-15,"2018-02-28",4,NA
"MZ","vdem_v2clprptym",1.60692948179707e-15,"2018-02-28",7,NA
"MZ","vdem_v2clprptym",1.11055253330619e-15,"2018-03-31",2,NA
"MZ","vdem_v2clprptym",1.06894274365732e-15,"2018-03-31",4,NA
"MZ","vdem_v2clprptym",5.55907578528782e-16,"2018-04-30",1,NA
"MZ","vdem_v2clprptym",1.11100154834395e-15,"2018-05-31",1,NA
"MZ","vdem_v2clprptym",5.55100065160568e-16,"2018-06-30",1,NA
"MZ","vdem_v2clprptym",1.11144526534051e-15,"2018-06-30",3,NA
"MZ","vdem_v2clprptym",1.0679961421506e-15,"2018-06-30",6,NA
"MZ","vdem_v2clprptym",1.11062967642647e-15,"2018-07-31",3,NA
"MZ","vdem_v2clprptym",5.5562839167206e-16,"2018-07-31",4,NA
"MZ","vdem_v2clprptym",1.10986560567648e-15,"2018-07-31",6,NA
"MZ","vdem_v2clprptym",1.10900738267611e-15,"2018-08-31",6,NA
"MZ","vdem_v2clprptym",1.10968821815995e-15,"2018-08-31",7,NA
"MZ","ged_best_os",3.52995530462797e-17,"2018-09-30",3,NA
"MZ","vdem_v2clprptym",1.11087251875574e-15,"2018-09-30",6,NA
"MZ","wdi_ms_mil_mprt_kd",1.27924007068184e-23,"2018-10-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",1.27372734292808e-23,"2018-10-31",3,NA
"MZ","vdem_v2clprptym",1.11005399291831e-15,"2018-10-31",6,NA
"MZ","wdi_ms_mil_mprt_kd",6.3979868061962e-24,"2018-11-30",2,NA
"MZ","vdem_v2clprptym",1.6638721359206e-15,"2018-11-30",6,NA
"MZ","wdi_ms_mil_mprt_kd",1.2556231733435e-23,"2018-12-31",1,NA
"MZ","vdem_v2clprptym",5.54525182988878e-16,"2018-12-31",7,NA
"MZ","wdi_ms_mil_mprt_kd",6.48780796479808e-24,"2019-01-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",1.25638356837813e-23,"2019-02-28",3,NA
"MZ","ged_dummy_os",1.25127850051684e-16,"2019-02-28",5,NA
"MZ","wdi_ms_mil_mprt_kd",6.37607607644921e-24,"2019-02-28",7,NA
"MZ","ged_dummy_os",2.50220440012533e-16,"2019-03-31",6,NA
"MZ","wdi_ms_mil_mprt_kd",1.25802592033755e-23,"2019-04-30",2,NA
"MZ","wdi_ms_mil_mprt_kd",6.49145033744153e-24,"2019-04-30",3,NA
"MZ","wdi_ms_mil_mprt_kd",1.26211920279345e-23,"2019-04-30",6,NA
"MZ","wdi_ms_mil_mprt_kd",1.94804488874035e-23,"2019-05-31",4,NA
"MZ","wdi_ms_mil_mprt_kd",1.29917520259716e-23,"2019-05-31",5,NA
"MZ","wdi_ms_mil_mprt_kd",1.26252391262231e-23,"2019-05-31",7,NA
"MZ","ged_dummy_os",0.0180417387169671,"2019-06-30",3,0.75
"MZ","wdi_ms_mil_mprt_kd",7.70337670214007e-10,"2019-06-30",3,1
"MZ","vdem_v2xeg_eqaccess",1.02530943086614,"2019-06-30",3,0.25
"MZ","vdem_v2xeg_eqdr",0.405161445769351,"2019-06-30",3,0.5
"MZ","wdi_ms_mil_mprt_kd",1.29910880365577e-23,"2019-06-30",5,NA
"MZ","ged_dummy_os",0.0660895836077583,"2019-07-31",1,0.5
"MZ","wdi_ms_mil_mprt_kd",6.27187509925293e-09,"2019-07-31",1,1
"MZ","wdi_ms_mil_mprt_kd",1.29154783606267e-23,"2019-07-31",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.94087667301077e-23,"2019-07-31",3,NA
"MZ","ged_dummy_os",0.0166748420680877,"2019-07-31",4,0.75
"MZ","wdi_ms_mil_mprt_kd",5.64018355235831e-10,"2019-07-31",4,1
"MZ","vdem_v2xeg_eqaccess",1.40363483316825,"2019-07-31",4,0.25
"MZ","vdem_v2xeg_eqdr",0.318838471850237,"2019-07-31",4,0.5
"MZ","wdi_ms_mil_mprt_kd",6.29628342744047e-24,"2019-07-31",5,NA
"MZ","ged_dummy_os",0.0320521201019074,"2019-08-31",1,0.5
"MZ","wdi_ms_mil_mprt_kd",4.9853620139496e-09,"2019-08-31",1,1
"MZ","wdi_ms_mil_mprt_kd",1.29995076868159e-23,"2019-08-31",7,NA
"MZ","ged_dummy_os",0.16234935027654,"2019-09-30",1,0.5
"MZ","wdi_ms_mil_mprt_kd",1.23779541309515e-08,"2019-09-30",1,1
"MZ","ged_dummy_os",0.128325141860334,"2019-09-30",2,0.5
"MZ","wdi_ms_mil_mprt_kd",9.96163659234864e-09,"2019-09-30",2,1
"MZ","wdi_ms_mil_mprt_kd",1.93865565055292e-23,"2019-09-30",4,NA
"MZ","wdi_ms_mil_mprt_kd",6.30053099678141e-24,"2019-09-30",7,NA
"MZ","ged_count_sb",0.00720899197691223,"2019-10-31",1,0.5
"MZ","ged_best_os",0.00650632029956153,"2019-10-31",1,1
"MZ","ged_dummy_os",0.22807885526369,"2019-10-31",1,0.333333333333333
"MZ","acled_count_os",0.000931282727567003,"2019-10-31",1,0.666666666666667
"MZ","wdi_ms_mil_mprt_kd",1.67838408273658e-08,"2019-10-31",1,0.833333333333333
"MZ","vdem_v2xpe_exlgeo",3.55787096771952,"2019-10-31",1,0.166666666666667
"MZ","ged_dummy_os",0.0993612163390162,"2019-10-31",2,0.5
"MZ","wdi_ms_mil_mprt_kd",9.06893986377244e-09,"2019-10-31",2,1
"MZ","ged_best_os",0.00167233126640129,"2019-10-31",3,1
"MZ","ged_dummy_os",0.168714962682307,"2019-10-31",3,0.333333333333333
"MZ","wdi_ms_mil_mprt_kd",1.24798289046446e-08,"2019-10-31",3,0.666666666666667
"MZ","ged_dummy_os",0.0976906780607101,"2019-10-31",4,0.5
"MZ","wdi_ms_mil_mprt_kd",7.80599357259882e-09,"2019-10-31",4,1
"MZ","wdi_ms_mil_mprt_kd",1.29530168721193e-23,"2019-10-31",6,NA
"MZ","vdem_v2xeg_eqaccess",1.03818295005579e-14,"2019-10-31",7,NA
"MZ","ged_count_sb",0.0481121504521335,"2019-11-30",1,0.4
"MZ","ged_dummy_os",0.215188887594221,"2019-11-30",1,0.6
"MZ","acled_count_os",0.0217397557246925,"2019-11-30",1,0.8
"MZ","wdi_ms_mil_mprt_kd",1.24067772321822e-08,"2019-11-30",1,1
"MZ","vdem_v2xpe_exlgeo",7.40068751838643,"2019-11-30",1,0.2
"MZ","ged_best_os",0.00425535347196354,"2019-11-30",2,1
"MZ","ged_dummy_os",0.146180736701383,"2019-11-30",2,0.5
"MZ","wdi_ms_mil_mprt_kd",1.28719532875347e-08,"2019-11-30",2,0.75
"MZ","vdem_v2xpe_exlgeo",0.985485075609152,"2019-11-30",2,0.25
"MZ","ged_dummy_os",0.132150525441318,"2019-11-30",3,0.5
"MZ","wdi_ms_mil_mprt_kd",1.07346738885247e-08,"2019-11-30",3,1
"MZ","ged_best_os",0.00171313419665912,"2019-11-30",4,1
"MZ","ged_dummy_os",0.168634097287096,"2019-11-30",4,0.333333333333333
"MZ","wdi_ms_mil_mprt_kd",1.24502162514355e-08,"2019-11-30",4,0.666666666666667
"MZ","ged_dummy_os",0.0980925897581676,"2019-11-30",5,0.5
"MZ","wdi_ms_mil_mprt_kd",7.78793323983197e-09,"2019-11-30",5,1
"MZ","wdi_ms_mil_mprt_kd",1.94002674424294e-23,"2019-11-30",6,NA
"MZ","ged_count_sb",0.0148454110996378,"2019-12-31",1,0.4
"MZ","ged_dummy_os",0.207505362270596,"2019-12-31",1,0.6
"MZ","acled_count_os",0.0249490214458196,"2019-12-31",1,0.8
"MZ","wdi_ms_mil_mprt_kd",1.21617596799628e-08,"2019-12-31",1,1
"MZ","vdem_v2xpe_exlgeo",8.1455337034907,"2019-12-31",1,0.2
"MZ","ged_count_sb",0.0422996935372735,"2019-12-31",2,0.4
"MZ","ged_dummy_os",0.203346837174316,"2019-12-31",2,0.6
"MZ","acled_count_os",0.0210285299074781,"2019-12-31",2,0.8
"MZ","wdi_ms_mil_mprt_kd",1.19484855724516e-08,"2019-12-31",2,1
"MZ","vdem_v2xpe_exlgeo",7.04862932430473,"2019-12-31",2,0.2
"MZ","ged_best_os",0.00488034028750722,"2019-12-31",3,1
"MZ","ged_dummy_os",0.165211340623821,"2019-12-31",3,0.5
"MZ","wdi_ms_mil_mprt_kd",1.38133438413689e-08,"2019-12-31",3,0.75
"MZ","vdem_v2xpe_exlgeo",1.53462330909256,"2019-12-31",3,0.25
"MZ","ged_dummy_os",0.163337030404938,"2019-12-31",4,0.5
"MZ","wdi_ms_mil_mprt_kd",1.23260638431177e-08,"2019-12-31",4,1
"MZ","ged_dummy_os",0.0671671881527075,"2019-12-31",5,0.5
"MZ","wdi_ms_mil_mprt_kd",6.65987475356058e-09,"2019-12-31",5,1
