"country","coef","value","date","step","rank"
"MZ","wdi_ms_mil_mprt_kd",1.29839911106677e-23,"2014-01-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",6.49121742365966e-24,"2014-02-28",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.29554494750467e-23,"2014-04-30",3,NA
"MZ","wdi_ms_mil_mprt_kd",6.48961951197517e-24,"2014-04-30",4,NA
"MZ","vdem_v2x_execorr",5.21004800388327e-14,"2014-06-30",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.56828462985412e-09,"2014-07-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",2.18787563224556e-23,"2014-07-31",4,NA
"MZ","wdi_ms_mil_mprt_kd",9.28491568069482e-10,"2014-08-31",1,1
"MZ","vdem_v2clprptym",0.0170548556931743,"2014-08-31",1,0.6
"MZ","vdem_v2csprtcpt",0.00538283671725486,"2014-08-31",1,0.4
"MZ","vdem_v2x_execorr",1.42467885342898,"2014-08-31",1,0.8
"MZ","vdem_v2xcs_ccsi",0.105407108839574,"2014-08-31",1,0.2
"MZ","wdi_ms_mil_mprt_kd",2.25986702769186e-09,"2014-08-31",2,1
"MZ","vdem_v2clprptym",0.021841245960022,"2014-08-31",2,0.2
"MZ","vdem_v2csprtcpt",0.00397973282913382,"2014-08-31",2,0.4
"MZ","vdem_v2x_execorr",0.429725169506057,"2014-08-31",2,0.8
"MZ","vdem_v2xcs_ccsi",0.0238435560313533,"2014-08-31",2,0.6
"MZ","wdi_ms_mil_mprt_kd",1.36195250531945e-09,"2014-09-30",2,1
"MZ","vdem_v2clprptym",0.0316044697450136,"2014-09-30",2,0.6
"MZ","vdem_v2csprtcpt",0.00767677360852752,"2014-09-30",2,0.2
"MZ","vdem_v2x_execorr",3.01975825386553,"2014-09-30",2,0.8
"MZ","vdem_v2xcs_ccsi",0.267501928059618,"2014-09-30",2,0.4
"MZ","wdi_ms_mil_mprt_kd",2.61825971207817e-09,"2014-09-30",3,1
"MZ","vdem_v2clprptym",0.0244847904813514,"2014-09-30",3,0.6
"MZ","vdem_v2csprtcpt",0.00755391577373133,"2014-09-30",3,0.4
"MZ","vdem_v2x_execorr",2.58343027721717,"2014-09-30",3,0.2
"MZ","vdem_v2xcs_ccsi",0.208934399895514,"2014-09-30",3,0.8
"MZ","vdem_v2clprptym",0.100778751611037,"2014-10-31",2,0.5
"MZ","vdem_v2csprtcpt",0.0189555339003504,"2014-10-31",2,0.75
"MZ","vdem_v2x_execorr",5.92931384099842,"2014-10-31",2,1
"MZ","vdem_v2xcs_ccsi",0.54084317437032,"2014-10-31",2,0.25
"MZ","wdi_ms_mil_mprt_kd",1.37239749188937e-09,"2014-10-31",3,1
