"country","coef","value","date","step","rank"
"MZ","wdi_ms_mil_mprt_kd",1.29839911106677e-23,"2014-01-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",6.49121742365966e-24,"2014-02-28",2,NA
"MZ","m_assault",2.19238349492669e-19,"2014-02-28",7,NA
"MZ","wdi_ms_mil_mprt_kd",1.29554494750467e-23,"2014-04-30",3,NA
"MZ","wdi_ms_mil_mprt_kd",6.48961951197517e-24,"2014-04-30",4,NA
"MZ","vdem_v2x_execorr",5.21004800388327e-14,"2014-06-30",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.56828462985412e-09,"2014-07-31",1,NA
"MZ","wdi_ms_mil_mprt_kd",2.18787563224556e-23,"2014-07-31",4,NA
"MZ","wdi_ms_mil_mprt_kd",9.42961887186525e-24,"2014-08-31",2,NA
"MZ","wdi_ms_mil_mprt_kd",9.04921471280983e-24,"2014-09-30",2,NA
"MZ","wdi_ms_mil_mprt_kd",1.38312874003277e-09,"2014-11-30",4,1
"MZ","vdem_v2clprptym",0.0302884351194115,"2014-11-30",4,0.4
"MZ","vdem_v2csprtcpt",0.00736082216746821,"2014-11-30",4,0.8
"MZ","vdem_v2x_execorr",2.89548623078728,"2014-11-30",4,0.6
"MZ","vdem_v2xcs_ccsi",0.256469728205523,"2014-11-30",4,0.2
"MZ","vdem_v2csprtcpt",1.77813379098254e-16,"2014-12-31",4,NA
"MZ","wdi_ms_mil_mprt_kd",1.81072514249099e-09,"2014-12-31",5,1
"MZ","vdem_v2clprptym",0.0567353121161036,"2014-12-31",5,0.2
"MZ","vdem_v2csprtcpt",0.0107083557498281,"2014-12-31",5,0.4
"MZ","vdem_v2x_execorr",3.81464875080464,"2014-12-31",5,0.6
"MZ","vdem_v2xcs_ccsi",0.357443859929973,"2014-12-31",5,0.8
"MZ","vdem_v2xcs_ccsi",4.33180737050552e-15,"2015-01-31",5,NA
"MZ","wdi_ms_mil_mprt_kd",9.04931558560929e-24,"2015-01-31",6,NA
"MZ","wdi_ms_mil_mprt_kd",1.01736616987348e-09,"2015-02-28",7,1
"MZ","vdem_v2clprptym",0.0241468484082276,"2015-02-28",7,0.8
"MZ","vdem_v2csprtcpt",0.00469526198050576,"2015-02-28",7,0.6
"MZ","vdem_v2x_execorr",0.577701636492274,"2015-02-28",7,0.2
"MZ","vdem_v2xcs_ccsi",0.0336948735562899,"2015-02-28",7,0.4
"MZ","vdem_v2xcs_ccsi",4.14871051095825e-15,"2015-03-31",1,NA
"MZ","vdem_v2xcs_ccsi",4.15859064391064e-15,"2015-06-30",3,NA
"MZ","vdem_v2xcs_ccsi",4.15892952683285e-15,"2015-06-30",4,NA
