"country","coef","value","date","step","rank"
"NG","ged_dummy_sb",0.310536170859034,"2014-01-31",1,0.5
"NG","vdem_v2xel_frefair",2.63710902526977,"2014-01-31",1,1
"NG","ged_dummy_sb",0.443058791735999,"2014-01-31",2,0.5
"NG","vdem_v2xel_frefair",2.37492131793578,"2014-01-31",2,1
"NG","ged_dummy_sb",0.427603012834064,"2014-01-31",3,0.5
"NG","vdem_v2xel_frefair",2.07550585405683,"2014-01-31",3,1
"NG","ged_dummy_sb",0.425290354904398,"2014-01-31",4,0.5
"NG","vdem_v2xel_frefair",1.70539603938808,"2014-01-31",4,1
"NG","ged_dummy_sb",0.410026593524378,"2014-01-31",5,0.333333333333333
"NG","wdi_iq_cpa_envr_xq",0.145471886861746,"2014-01-31",5,0.666666666666667
"NG","vdem_v2xel_frefair",0.889201803489374,"2014-01-31",5,1
"NG","ged_dummy_sb",0.59830881881706,"2014-01-31",6,0.333333333333333
"NG","wdi_iq_cpa_envr_xq",0.0440901022579195,"2014-01-31",6,0.666666666666667
"NG","vdem_v2xel_frefair",2.94239892188718,"2014-01-31",6,1
"NG","ged_dummy_sb",0.414022443968681,"2014-01-31",7,0.666666666666667
"NG","vdem_v2xel_frefair",2.81641669100927,"2014-01-31",7,1
"NG","fvp_prop_junpart",0.411884689877922,"2014-01-31",7,0.333333333333333
"NG","ged_dummy_sb",0.313701386475601,"2014-02-28",1,0.5
"NG","vdem_v2xel_frefair",2.66184954105246,"2014-02-28",1,1
"NG","ged_dummy_sb",0.409184305326116,"2014-02-28",2,0.5
"NG","vdem_v2xel_frefair",2.31890343569711,"2014-02-28",2,1
"NG","ged_dummy_sb",0.390407233961318,"2014-02-28",3,0.5
"NG","vdem_v2xel_frefair",1.91741020912518,"2014-02-28",3,1
"NG","ged_dummy_sb",0.303180789717435,"2014-02-28",4,0.5
"NG","vdem_v2xel_frefair",1.22273301122177,"2014-02-28",4,1
"NG","ged_dummy_sb",0.368280816200934,"2014-02-28",5,0.5
"NG","vdem_v2xel_frefair",1.19480489576842,"2014-02-28",5,1
"NG","ged_dummy_sb",0.613306150534815,"2014-02-28",6,0.5
"NG","vdem_v2xel_frefair",3.24360199705809,"2014-02-28",6,1
"NG","ged_dummy_sb",0.518919587513048,"2014-02-28",7,0.333333333333333
"NG","vdem_v2xel_frefair",2.88834368678864,"2014-02-28",7,1
"NG","fvp_prop_junpart",1.02646840365746,"2014-02-28",7,0.666666666666667
"NG","ged_dummy_sb",0.385712995587988,"2014-03-31",1,0.5
"NG","vdem_v2xel_frefair",3.41948503497456,"2014-03-31",1,1
"NG","ged_dummy_sb",0.443958338688793,"2014-03-31",2,0.5
"NG","vdem_v2xel_frefair",2.50112764641415,"2014-03-31",2,1
"NG","ged_dummy_sb",0.388903359889794,"2014-03-31",3,0.5
"NG","vdem_v2xel_frefair",2.02299582190845,"2014-03-31",3,1
"NG","ged_dummy_sb",0.368577377953144,"2014-03-31",4,0.5
"NG","vdem_v2xel_frefair",1.60510371398687,"2014-03-31",4,1
"NG","ged_dummy_sb",0.349187331155309,"2014-03-31",5,0.5
"NG","vdem_v2xel_frefair",1.25201083289598,"2014-03-31",5,1
"NG","ged_dummy_sb",0.558408993989253,"2014-03-31",6,0.5
"NG","vdem_v2xel_frefair",3.10420372606798,"2014-03-31",6,1
"NG","ged_dummy_sb",0.505920974159712,"2014-03-31",7,0.333333333333333
"NG","vdem_v2xel_frefair",3.06819239181933,"2014-03-31",7,1
"NG","fvp_prop_junpart",0.801158912653051,"2014-03-31",7,0.666666666666667
"NG","ged_dummy_sb",0.386786447427556,"2014-04-30",1,0.5
"NG","vdem_v2xel_frefair",3.16172279098262,"2014-04-30",1,1
"NG","ged_dummy_sb",0.451600963227876,"2014-04-30",2,0.5
"NG","vdem_v2xel_frefair",2.92844889459375,"2014-04-30",2,1
"NG","ged_dummy_sb",0.454629839793177,"2014-04-30",3,0.5
"NG","vdem_v2xel_frefair",2.36003205228747,"2014-04-30",3,1
"NG","ged_dummy_sb",0.333550870096982,"2014-04-30",4,0.5
"NG","vdem_v2xel_frefair",1.53256762557782,"2014-04-30",4,1
"NG","ged_dummy_sb",0.378101878711657,"2014-04-30",5,0.5
