"country","coef","value","date","step","rank"
"RW","m_disapprove",2.2809383394453e-20,"2014-01-31",6,NA
"RW","m_disapprove",2.28328312663524e-20,"2014-01-31",7,NA
"RW","m_disapprove",1.14114264025069e-20,"2014-02-28",7,NA
"RW","m_disapprove",1.131328679943e-20,"2015-04-30",4,NA
"RW","m_disapprove",2.26467930463369e-20,"2015-05-31",5,NA
"RW","m_disapprove",1.12930579109311e-20,"2015-06-30",5,NA
"RW","m_disapprove",2.2669872792718e-20,"2015-06-30",6,NA
"RW","m_disapprove",1.09653840519856e-20,"2015-07-31",5,NA
"RW","m_disapprove",1.13042059994306e-20,"2015-07-31",6,NA
"RW","m_disapprove",2.26791040564609e-20,"2015-07-31",7,NA
"RW","m_disapprove",2.15813042295715e-20,"2015-08-31",4,NA
"RW","m_disapprove",1.08512362650691e-20,"2015-08-31",5,NA
"RW","m_disapprove",2.19529833820174e-20,"2015-08-31",6,NA
"RW","m_disapprove",1.13085876774296e-20,"2015-08-31",7,NA
"RW","m_disapprove",1.0449037831037e-20,"2015-09-30",4,NA
"RW","m_disapprove",2.17251203771218e-20,"2015-09-30",6,NA
"RW","m_disapprove",1.04591533996362e-20,"2015-10-31",5,NA
"RW","m_disapprove",9.78996732434822e-21,"2015-11-30",4,NA
"RW","m_disapprove",2.05146651868015e-20,"2015-11-30",5,NA
"RW","m_disapprove",1.04705472572372e-20,"2015-11-30",6,NA
"RW","m_disapprove",9.72897763897729e-21,"2015-12-31",4,NA
"RW","m_disapprove",9.79979768601062e-21,"2015-12-31",5,NA
"RW","m_disapprove",2.05375821994057e-20,"2015-12-31",6,NA
"RW","m_disapprove",9.50810756672707e-21,"2016-01-31",4,NA
"RW","m_disapprove",9.73899862035573e-21,"2016-01-31",5,NA
"RW","m_disapprove",2.05483875091637e-20,"2016-01-31",7,NA
"RW","m_disapprove",1.96323839859825e-20,"2016-02-29",7,NA
"RW","m_disapprove",4.62128909813004e-21,"2016-03-31",4,NA
"RW","m_disapprove",1.41697908644397e-20,"2016-03-31",5,NA
"RW","m_disapprove",9.75577419875896e-21,"2016-03-31",7,NA
"RW","m_disapprove",9.2527877382543e-21,"2016-04-30",5,NA
"RW","m_disapprove",4.72892188801269e-21,"2016-04-30",6,NA
"RW","m_disapprove",1.9070044816239e-20,"2016-04-30",7,NA
"RW","m_disapprove",1.38434871142551e-20,"2016-05-31",5,NA
"RW","m_disapprove",4.63204314383455e-21,"2016-05-31",6,NA
"RW","m_disapprove",4.6202259470622e-21,"2016-06-30",6,NA
"RW","m_disapprove",4.63507749874096e-21,"2016-06-30",7,NA
"RW","m_disapprove",4.62333140320972e-21,"2016-07-31",7,NA
"RW","ged_count_sb",2.03999233591682e-17,"2018-09-30",5,NA
"RW","ged_count_sb",4.07994722801614e-17,"2018-10-31",5,NA
"RW","ged_count_sb",4.07991023382979e-17,"2018-11-30",5,NA
"RW","ged_count_sb",6.11997700775046e-17,"2018-11-30",6,NA
"RW","vdem_v2x_cspart",2.58173813352734e-16,"2018-12-31",4,NA
"RW","ged_count_sb",2.03993684061203e-17,"2018-12-31",5,NA
"RW","ged_count_sb",2.03997361400807e-17,"2018-12-31",6,NA
"RW","ged_count_sb",2.03991878116974e-17,"2019-01-31",5,NA
"RW","ged_count_sb",4.07991023382979e-17,"2019-01-31",6,NA
"RW","ged_count_sb",6.11997700775046e-17,"2019-01-31",7,NA
"RW","ged_count_sb",2.03993684061203e-17,"2019-02-28",6,NA
"RW","ged_count_sb",2.03997361400807e-17,"2019-02-28",7,NA
"RW","ged_count_sb",2.03991878116974e-17,"2019-03-31",6,NA
"RW","ged_count_sb",2.03995511691489e-17,"2019-03-31",7,NA
"RW","ged_count_sb",2.03986586608329e-17,"2019-04-30",5,NA
"RW","ged_count_sb",2.03990093475099e-17,"2019-04-30",6,NA
"RW","ged_count_sb",2.03993684061203e-17,"2019-04-30",7,NA
"RW","ged_count_sb",6.11975634350922e-17,"2019-05-31",7,NA
"RW","ged_count_sb",2.03990093475099e-17,"2019-06-30",7,NA
