"country","coef","value","date","step","rank"
"RW","ged_count_sb",1.71250020484118e-17,"2018-09-30",5,NA
"RW","ged_count_sb",3.42477533863333e-17,"2018-10-31",5,NA
"RW","ged_count_sb",1.71227649673682e-17,"2018-11-30",5,NA
"RW","ged_count_sb",3.42500040968236e-17,"2018-11-30",6,NA
"RW","vdem_v2x_cspart",2.17843690173433e-16,"2018-12-31",4,NA
"RW","ged_count_sb",3.42455299347364e-17,"2019-01-31",6,NA
"RW","ged_count_sb",3.42500040968236e-17,"2019-01-31",7,NA
"RW","vdem_v2x_cspart",4.32541319850866e-16,"2019-03-31",4,NA
"RW","ged_count_sb",3.42368990473429e-17,"2019-03-31",5,NA
"RW","ged_count_sb",1.71227649673682e-17,"2019-03-31",7,NA
"RW","ged_count_sb",1.71174023686109e-17,"2019-04-30",5,NA
"RW","ged_count_sb",1.71195091347901e-17,"2019-04-30",6,NA
"RW","ged_count_sb",3.42368990473429e-17,"2019-05-31",6,NA
"RW","ged_count_sb",1.71205814255462e-17,"2019-05-31",7,NA
"RW","ged_count_sb",1.71195091347901e-17,"2019-06-30",7,NA
