"country","coef","value","date","step","rank"
"RW","m_disapprove",1.70702165273802e-20,"2014-02-28",7,NA
"RW","m_disapprove",8.56471746448025e-21,"2015-06-30",5,NA
"RW","m_disapprove",1.71485077263194e-20,"2015-07-31",6,NA
"RW","m_disapprove",8.60193038692542e-21,"2015-07-31",7,NA
"RW","m_disapprove",8.33604663714744e-21,"2015-08-31",5,NA
"RW","m_disapprove",8.40211453909264e-21,"2015-08-31",6,NA
"RW","m_disapprove",8.5787494562569e-21,"2015-08-31",7,NA
"RW","m_disapprove",7.74679682298242e-21,"2015-11-30",4,NA
"RW","m_disapprove",8.01830396631762e-21,"2015-11-30",5,NA
"RW","m_disapprove",8.13706533699257e-21,"2015-11-30",6,NA
"RW","m_disapprove",7.71606636606332e-21,"2015-12-31",4,NA
"RW","m_disapprove",8.02842754584052e-21,"2015-12-31",6,NA
"RW","m_disapprove",8.14233062132114e-21,"2015-12-31",7,NA
"RW","m_disapprove",7.72524309061585e-21,"2016-01-31",5,NA
"RW","m_disapprove",1.60677803209826e-20,"2016-01-31",7,NA
"RW","m_disapprove",1.13287158566637e-20,"2016-02-29",4,NA
"RW","m_disapprove",7.77129359410468e-21,"2016-02-29",7,NA
"RW","m_disapprove",1.1342824850208e-20,"2016-03-31",5,NA
"RW","m_disapprove",7.45012905745481e-21,"2016-04-30",5,NA
"RW","m_disapprove",7.61555530114712e-21,"2016-04-30",7,NA
"RW","m_disapprove",7.43939628825098e-21,"2016-05-31",5,NA
"RW","m_disapprove",1.13673292626772e-20,"2016-05-31",7,NA
"RW","m_disapprove",3.73333633401946e-21,"2016-06-30",7,NA
"RW","ged_count_sb",1.71250020484118e-17,"2018-09-30",5,NA
"RW","ged_count_sb",3.42477533863333e-17,"2018-10-31",5,NA
"RW","ged_count_sb",3.42500040968236e-17,"2018-11-30",6,NA
"RW","vdem_v2x_cspart",2.17843690173433e-16,"2018-12-31",4,NA
"RW","ged_count_sb",3.42455299347364e-17,"2019-01-31",6,NA
"RW","ged_count_sb",3.42500040968236e-17,"2019-01-31",7,NA
"RW","vdem_v2x_cspart",4.32541319850866e-16,"2019-03-31",4,NA
"RW","ged_count_sb",3.42368990473429e-17,"2019-03-31",5,NA
"RW","ged_count_sb",1.71227649673682e-17,"2019-03-31",7,NA
"RW","ged_count_sb",1.71174023686109e-17,"2019-04-30",5,NA
"RW","ged_count_sb",1.71195091347901e-17,"2019-04-30",6,NA
"RW","ged_count_sb",3.42368990473429e-17,"2019-05-31",6,NA
"RW","ged_count_sb",1.71205814255462e-17,"2019-05-31",7,NA
"RW","ged_count_sb",1.71195091347901e-17,"2019-06-30",7,NA
