"country","coef","value","date","step","rank"
"SD","wdi_vc_btl_deth",2.54210021789658e-19,"2016-03-31",6,NA
"SD","wdi_vc_btl_deth",2.53038003743441e-19,"2016-04-30",6,NA
"SD","wdi_vc_btl_deth",2.50452728231236e-19,"2016-06-30",5,NA
"SD","wdi_vc_btl_deth",5.067738543886e-19,"2016-07-31",6,NA
"SD","ged_dummy_sb",5.06956401958746e-16,"2017-02-28",2,NA
"SD","ged_count_sb",1.36313088043043e-17,"2017-05-31",1,NA
"SD","wdi_vc_btl_deth",2.76049625988656e-19,"2017-05-31",6,NA
"SD","wdi_vc_btl_deth",2.65948935142246e-19,"2017-05-31",7,NA
"SD","ged_count_sb",1.37591591518159e-17,"2017-07-31",1,NA
"SD","ged_count_sb",0.0063216439444274,"2017-07-31",4,1
"SD","acled_count_sb",0.00605488044539297,"2017-07-31",4,0.666666666666667
"SD","wdi_vc_btl_deth",3.46066110874732e-05,"2017-07-31",4,0.333333333333333
"SD","ged_count_sb",1.35481268455665e-17,"2017-08-31",3,NA
"SD","ged_count_sb",1.35781275988953e-17,"2017-08-31",4,NA
"SD","ged_count_sb",1.35549487992232e-17,"2017-09-30",4,NA
"SD","ged_count_sb",0.00433908892352362,"2017-10-31",2,1
"SD","ged_dummy_sb",0.181016943776865,"2017-10-31",2,0.25
"SD","acled_count_sb",0.0029798372237933,"2017-10-31",2,0.75
"SD","wdi_vc_btl_deth",0.000154149240705685,"2017-10-31",2,0.5
"SD","ged_count_sb",0.00552830353665124,"2017-11-30",3,1
"SD","ged_dummy_sb",0.0312844749474977,"2017-11-30",3,0.25
"SD","acled_count_sb",0.00202683806628005,"2017-11-30",3,0.75
"SD","wdi_vc_btl_deth",8.735927656514e-05,"2017-11-30",3,0.5
"SD","ged_count_sb",1.35195531202155e-17,"2017-11-30",6,NA
"SD","ged_count_sb",1.3675063691984e-17,"2017-12-31",6,NA
"SD","ged_count_sb",0.00692150392517743,"2018-01-31",1,1
"SD","acled_count_sb",0.00356248307426896,"2018-01-31",1,0.666666666666667
"SD","wdi_vc_btl_deth",0.000119323055890067,"2018-01-31",1,0.333333333333333
"SD","ged_count_sb",2.73112200423329e-17,"2018-01-31",7,NA
"SD","wdi_vc_btl_deth",5.77324119302619e-05,"2018-02-28",1,NA
"SD","wdi_vc_btl_deth",3.89148001366777e-05,"2018-02-28",2,NA
"SD","wdi_vc_btl_deth",5.76546566352938e-05,"2018-02-28",4,NA
"SD","ged_count_sb",0.0025193047864227,"2018-03-31",1,1
"SD","acled_count_sb",0.00288969677391716,"2018-03-31",1,0.666666666666667
"SD","wdi_vc_btl_deth",0.000178132741494383,"2018-03-31",1,0.333333333333333
"SD","ged_count_sb",0.00309826731121277,"2018-04-30",1,1
"SD","acled_count_sb",0.00305147016576054,"2018-04-30",1,0.666666666666667
"SD","wdi_vc_btl_deth",0.000106518453924369,"2018-04-30",1,0.333333333333333
"SD","wdi_vc_btl_deth",0.000205202862324083,"2018-04-30",2,NA
"SD","ged_count_sb",0.00185758358841818,"2018-04-30",3,1
"SD","wdi_vc_btl_deth",0.000100237630954249,"2018-04-30",3,0.5
"SD","ged_count_sb",0.00764093007148568,"2018-04-30",4,1
"SD","acled_count_sb",0.00223423168083237,"2018-04-30",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.00013375888616528,"2018-04-30",4,0.333333333333333
"SD","ged_count_sb",0.00337002324530443,"2018-05-31",1,1
"SD","acled_count_sb",0.00113465452032292,"2018-05-31",1,0.666666666666667
"SD","wdi_vc_btl_deth",8.23229073278117e-05,"2018-05-31",1,0.333333333333333
"SD","ged_count_sb",0.000159210253860191,"2018-05-31",2,1
"SD","wdi_vc_btl_deth",0.000147745695494924,"2018-05-31",2,0.5
"SD","ged_count_sb",0.00409362082828091,"2018-05-31",3,1
"SD","acled_count_sb",0.00358212290085153,"2018-05-31",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.000185381994962385,"2018-05-31",3,0.333333333333333
"SD","wdi_vc_btl_deth",7.15777877307483e-05,"2018-05-31",4,NA
"SD","wdi_vc_btl_deth",2.94905064968445e-05,"2018-05-31",5,NA
"SD","ged_count_sb",0.00596918704362057,"2018-06-30",1,1
"SD","acled_count_sb",0.00406645411342653,"2018-06-30",1,0.666666666666667
"SD","wdi_vc_btl_deth",1.73970358769636e-05,"2018-06-30",1,0.333333333333333
"SD","wdi_vc_btl_deth",6.0230895676313e-05,"2018-06-30",2,NA
"SD","ged_count_sb",0.00238487419696159,"2018-06-30",3,1
"SD","acled_count_sb",0.00120379163278882,"2018-06-30",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.00011573404484327,"2018-06-30",3,0.333333333333333
"SD","ged_count_sb",0.00442869276959242,"2018-06-30",4,1
"SD","acled_count_sb",0.00302983030706358,"2018-06-30",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.000194772933237104,"2018-06-30",4,0.333333333333333
"SD","wdi_vc_btl_deth",6.9027421606242e-05,"2018-06-30",6,NA
"SD","ged_count_sb",0.000760761434437253,"2018-07-31",1,NA
"SD","ged_count_sb",0.0035090114439346,"2018-07-31",2,1
"SD","acled_count_sb",0.000653880770751547,"2018-07-31",2,0.666666666666667
"SD","wdi_vc_btl_deth",6.96144205598827e-05,"2018-07-31",2,0.333333333333333
"SD","wdi_vc_btl_deth",6.14126570185125e-05,"2018-07-31",3,NA
"SD","ged_count_sb",0.00366582550000242,"2018-07-31",4,1
"SD","acled_count_sb",0.00191111998721958,"2018-07-31",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.000127712852982195,"2018-07-31",4,0.333333333333333
"SD","wdi_vc_btl_deth",2.62019908054748e-05,"2018-07-31",6,NA
"SD","wdi_vc_btl_deth",2.9923974895983e-05,"2018-07-31",7,NA
"SD","ged_count_sb",0.00349347161125265,"2018-08-31",1,0.5
"SD","acled_count_sb",0.00226052061554582,"2018-08-31",1,1
"SD","ged_count_sb",0.00149599792421265,"2018-08-31",2,1
"SD","acled_count_sb",0.000448951916916413,"2018-08-31",2,0.666666666666667
"SD","wdi_vc_btl_deth",9.61379106138178e-06,"2018-08-31",2,0.333333333333333
"SD","ged_count_sb",0.00409245721668285,"2018-08-31",3,0.666666666666667
"SD","acled_count_sb",0.00099298640391266,"2018-08-31",3,1
"SD","wdi_vc_btl_deth",3.027766036516e-05,"2018-08-31",3,0.333333333333333
"SD","ged_count_sb",0.00575817987603661,"2018-08-31",4,1
"SD","acled_count_sb",0.00247137541045455,"2018-08-31",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.000120459231500767,"2018-08-31",4,0.333333333333333
"SD","wdi_vc_btl_deth",7.17807951763448e-05,"2018-08-31",5,NA
"SD","wdi_vc_btl_deth",8.69380460476078e-05,"2018-08-31",6,NA
"SD","wdi_vc_btl_deth",2.63062423693533e-05,"2018-08-31",7,NA
"SD","ged_count_sb",0.00276285067398095,"2018-09-30",1,0.5
"SD","acled_count_sb",0.00573319860306959,"2018-09-30",1,1
"SD","ged_count_sb",0.00222045830762357,"2018-09-30",2,0.5
"SD","acled_count_sb",0.00192845788391537,"2018-09-30",2,1
"SD","ged_count_sb",0.00418508889034473,"2018-09-30",3,0.5
"SD","acled_count_sb",0.00306819274217063,"2018-09-30",3,1
"SD","ged_count_sb",0.00193887793464491,"2018-09-30",4,1
"SD","wdi_vc_btl_deth",2.33471418793204e-05,"2018-09-30",4,0.5
"SD","wdi_vc_btl_deth",0.000124547838842607,"2018-09-30",5,NA
"SD","wdi_vc_btl_deth",7.16889134760106e-05,"2018-09-30",6,NA
"SD","ged_count_sb",0.00626030835099089,"2018-09-30",7,1
"SD","acled_count_sb",0.00295485785239195,"2018-09-30",7,0.666666666666667
"SD","wdi_vc_btl_deth",0.000215872491472292,"2018-09-30",7,0.333333333333333
"SD","ged_count_sb",0.00559045862965534,"2018-10-31",1,0.5
"SD","acled_count_sb",0.00563332527229474,"2018-10-31",1,1
"SD","acled_count_sb",0.000957628950992525,"2018-10-31",2,1
"SD","wdi_vc_btl_deth",3.2031320213296e-05,"2018-10-31",2,0.5
"SD","ged_count_sb",0.0040201074922863,"2018-10-31",3,0.5
"SD","acled_count_sb",0.00316116080128486,"2018-10-31",3,1
"SD","ged_count_sb",0.00120000373428875,"2018-10-31",5,1
"SD","wdi_vc_btl_deth",5.55041590739357e-05,"2018-10-31",5,0.5
"SD","ged_count_sb",0.00154479105248066,"2018-10-31",6,1
"SD","wdi_vc_btl_deth",0.000116557180084891,"2018-10-31",6,0.5
"SD","wdi_vc_btl_deth",7.23465541569356e-05,"2018-10-31",7,NA
"SD","ged_count_sb",0.000723571766230509,"2018-11-30",3,0.5
"SD","acled_count_sb",0.00287335699927996,"2018-11-30",3,1
"SD","ged_count_sb",0.00414438153759441,"2018-11-30",4,0.5
"SD","acled_count_sb",0.00274469954309499,"2018-11-30",4,1
"SD","ged_count_sb",0.00464853888418779,"2018-12-31",1,0.5
"SD","acled_count_sb",0.00428214955080704,"2018-12-31",1,1
"SD","ged_count_sb",0.00135961473450525,"2018-12-31",3,0.5
"SD","acled_count_sb",0.000433069799553592,"2018-12-31",3,1
"SD","ged_count_sb",0.000810915172414029,"2018-12-31",4,0.666666666666667
"SD","acled_count_sb",0.00244695915570215,"2018-12-31",4,1
"SD","wdi_vc_btl_deth",2.18894200848399e-06,"2018-12-31",4,0.333333333333333
"SD","acled_count_sb",0.00425035415995303,"2019-01-31",1,NA
"SD","ged_count_sb",0.00252246492665588,"2019-01-31",4,0.5
"SD","acled_count_sb",0.00128646336068924,"2019-01-31",4,1
"SD","acled_count_sb",0.00076709964337482,"2019-02-28",1,1
"SD","wdi_vc_btl_deth",3.98455132271735e-05,"2019-02-28",1,0.5
"SD","ged_count_sb",0.00466254517858297,"2019-02-28",6,0.666666666666667
"SD","acled_count_sb",0.00413932557168829,"2019-02-28",6,1
"SD","wdi_vc_btl_deth",4.01629439121394e-05,"2019-02-28",6,0.333333333333333
"SD","acled_count_sb",0.0055972243965612,"2019-03-31",1,1
"SD","wdi_vc_btl_deth",6.91919807447849e-05,"2019-03-31",1,0.5
"SD","acled_count_sb",0.00149407398591405,"2019-03-31",2,1
"SD","wdi_vc_btl_deth",0.000108846873189827,"2019-03-31",2,0.5
"SD","acled_count_sb",0.000620678427889299,"2019-03-31",3,NA
"SD","acled_count_sb",0.000146479594566305,"2019-03-31",5,1
"SD","wdi_vc_btl_deth",1.5696629628175e-05,"2019-03-31",5,0.5
"SD","ged_count_sb",0.00366002520833202,"2019-03-31",7,1
"SD","acled_count_sb",0.00374932237802848,"2019-03-31",7,0.666666666666667
"SD","wdi_vc_btl_deth",2.26088073999949e-05,"2019-03-31",7,0.333333333333333
"SD","ged_count_sb",0.00046988954997339,"2019-04-30",1,0.666666666666667
"SD","acled_count_sb",0.00232635438803703,"2019-04-30",1,1
"SD","wdi_vc_btl_deth",0.000172562732368376,"2019-04-30",1,0.333333333333333
"SD","wdi_vc_btl_deth",6.51087586164454e-05,"2019-04-30",2,NA
"SD","acled_count_sb",0.00204208640439523,"2019-04-30",3,1
"SD","wdi_vc_btl_deth",6.9461038233915e-05,"2019-04-30",3,0.5
"SD","ged_count_sb",0.000132097950314944,"2019-04-30",6,0.5
