"country","coef","value","date","step","rank"
"SD","wdi_vc_btl_deth",1.83485476879748e-19,"2016-03-31",6,NA
"SD","wdi_vc_btl_deth",1.81181191940311e-19,"2016-04-30",5,NA
"SD","wdi_vc_btl_deth",1.81079716020985e-19,"2016-06-30",5,NA
"SD","wdi_vc_btl_deth",1.82692957582202e-19,"2016-06-30",6,NA
"SD","wdi_vc_btl_deth",1.83385282351547e-19,"2016-07-31",6,NA
"SD","ged_dummy_sb",3.83959141434117e-16,"2017-03-31",3,NA
"SD","ged_count_sb",1.02842840350617e-17,"2017-05-31",1,NA
"SD","wdi_vc_btl_deth",1.95937691261442e-19,"2017-05-31",7,NA
"SD","ged_count_sb",1.02391390931876e-17,"2017-06-30",4,NA
"SD","ged_count_sb",1.03874175865752e-17,"2017-07-31",1,NA
"SD","ged_count_sb",0.0072250930701411,"2017-07-31",4,1
"SD","acled_count_sb",0.00370035425497761,"2017-07-31",4,0.666666666666667
"SD","wdi_vc_btl_deth",7.36348014136344e-05,"2017-07-31",4,0.333333333333333
"SD","ged_count_sb",1.02596219592327e-17,"2017-08-31",3,NA
"SD","ged_count_sb",1.02386272534127e-17,"2017-08-31",4,NA
"SD","ged_count_sb",1.02577551802619e-17,"2017-09-30",4,NA
"SD","ged_count_sb",0.00569249583183664,"2017-10-31",2,1
"SD","ged_dummy_sb",0.222048080131801,"2017-10-31",2,0.25
"SD","acled_count_sb",0.00289486832076716,"2017-10-31",2,0.75
"SD","wdi_vc_btl_deth",0.00019093930125486,"2017-10-31",2,0.5
"SD","ged_count_sb",0.00646463041130566,"2017-11-30",3,1
"SD","ged_dummy_sb",0.161388873311224,"2017-11-30",3,0.25
"SD","acled_count_sb",0.0033238051872708,"2017-11-30",3,0.75
"SD","wdi_vc_btl_deth",0.000153685235791748,"2017-11-30",3,0.5
"SD","ged_count_sb",1.02107733728438e-17,"2017-11-30",6,NA
"SD","ged_count_sb",1.01654380721399e-17,"2017-11-30",7,NA
"SD","wdi_vc_btl_deth",5.77477544384828e-05,"2017-12-31",2,NA
"SD","ged_count_sb",1.01843380574587e-17,"2017-12-31",7,NA
"SD","ged_count_sb",0.007732638646764,"2018-01-31",1,1
"SD","acled_count_sb",0.00374042116678861,"2018-01-31",1,0.666666666666667
"SD","wdi_vc_btl_deth",0.000106350791932986,"2018-01-31",1,0.333333333333333
"SD","ged_count_sb",0.00278737320768255,"2018-01-31",4,1
"SD","wdi_vc_btl_deth",8.93595937624085e-05,"2018-01-31",4,0.5
"SD","ged_count_sb",2.05317155306472e-17,"2018-01-31",7,NA
"SD","ged_count_sb",0.00237640589119579,"2018-02-28",1,1
"SD","wdi_vc_btl_deth",6.84605679714225e-05,"2018-02-28",1,0.5
"SD","wdi_vc_btl_deth",0.000125416726696229,"2018-02-28",2,NA
"SD","ged_count_sb",0.00532266199885213,"2018-02-28",4,1
"SD","acled_count_sb",0.00107187991895042,"2018-02-28",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.000142737652448421,"2018-02-28",4,0.333333333333333
"SD","ged_count_sb",0.00474221946316069,"2018-03-31",1,1
"SD","acled_count_sb",0.00286496919450484,"2018-03-31",1,0.666666666666667
"SD","wdi_vc_btl_deth",0.000115377495460612,"2018-03-31",1,0.333333333333333
"SD","wdi_vc_btl_deth",6.61008431526955e-05,"2018-03-31",2,NA
"SD","wdi_vc_btl_deth",3.33732241924517e-05,"2018-03-31",4,NA
"SD","wdi_vc_btl_deth",1.94629378786383e-05,"2018-03-31",5,NA
"SD","ged_count_sb",0.00515610537844321,"2018-04-30",1,1
"SD","acled_count_sb",0.00294157777720374,"2018-04-30",1,0.666666666666667
"SD","wdi_vc_btl_deth",9.98648768882389e-05,"2018-04-30",1,0.333333333333333
"SD","ged_count_sb",0.00209507828655852,"2018-04-30",2,1
"SD","acled_count_sb",0.000520200541786423,"2018-04-30",2,0.666666666666667
"SD","wdi_vc_btl_deth",0.000172972744254403,"2018-04-30",2,0.333333333333333
"SD","ged_count_sb",0.0037582016783688,"2018-04-30",3,1
"SD","acled_count_sb",0.00051691796136696,"2018-04-30",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.000128528710028716,"2018-04-30",3,0.333333333333333
"SD","ged_count_sb",0.00772303583118093,"2018-04-30",4,1
"SD","acled_count_sb",0.00294231366048803,"2018-04-30",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.000161711086088477,"2018-04-30",4,0.333333333333333
"SD","ged_count_sb",0.00438702377701617,"2018-05-31",1,1
"SD","acled_count_sb",0.00183493543129764,"2018-05-31",1,0.666666666666667
"SD","wdi_vc_btl_deth",8.99678257805016e-05,"2018-05-31",1,0.333333333333333
"SD","ged_count_sb",0.000992129703290786,"2018-05-31",2,1
"SD","wdi_vc_btl_deth",0.000146235246772533,"2018-05-31",2,0.5
"SD","ged_count_sb",0.00489230883799316,"2018-05-31",3,1
"SD","acled_count_sb",0.00258604793314082,"2018-05-31",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.000160224315956063,"2018-05-31",3,0.333333333333333
"SD","wdi_vc_btl_deth",9.65892178243911e-05,"2018-05-31",4,NA
"SD","wdi_vc_btl_deth",0.000122681600786103,"2018-05-31",5,NA
"SD","wdi_vc_btl_deth",6.31543980081144e-05,"2018-05-31",6,NA
"SD","ged_count_sb",0.00626041059165358,"2018-06-30",1,1
"SD","acled_count_sb",0.00286357555323513,"2018-06-30",1,0.666666666666667
