"country","coef","value","date","step","rank"
"SD","wdi_vc_btl_deth",1.83485476879748e-19,"2016-03-31",6,NA
"SD","wdi_vc_btl_deth",1.81181191940311e-19,"2016-04-30",5,NA
"SD","wdi_vc_btl_deth",1.81079716020985e-19,"2016-06-30",5,NA
"SD","wdi_vc_btl_deth",1.82692957582202e-19,"2016-06-30",6,NA
"SD","wdi_vc_btl_deth",1.83385282351547e-19,"2016-07-31",6,NA
"SD","ged_dummy_sb",3.83959141434117e-16,"2017-03-31",3,NA
"SD","ged_count_sb",1.02842840350617e-17,"2017-05-31",1,NA
"SD","ged_count_sb",0.0055506296094451,"2017-05-31",2,1
"SD","ged_dummy_sb",0.0191433259714795,"2017-05-31",2,0.25
"SD","acled_count_sb",0.00280380222704606,"2017-05-31",2,0.75
"SD","wdi_vc_btl_deth",8.79650948873609e-05,"2017-05-31",2,0.5
"SD","wdi_vc_btl_deth",1.95937691261442e-19,"2017-05-31",7,NA
"SD","ged_count_sb",1.02391390931876e-17,"2017-06-30",4,NA
"SD","ged_count_sb",1.03874175865752e-17,"2017-07-31",1,NA
"SD","ged_count_sb",1.02596219592327e-17,"2017-08-31",3,NA
"SD","ged_count_sb",1.02386272534127e-17,"2017-08-31",4,NA
"SD","ged_count_sb",1.02577551802619e-17,"2017-09-30",4,NA
"SD","ged_count_sb",0.00165762345551544,"2017-10-31",2,1
"SD","wdi_vc_btl_deth",0.000117126161592571,"2017-10-31",2,0.5
"SD","ged_count_sb",0.00415095050073737,"2017-11-30",1,1
"SD","acled_count_sb",0.000829759488537493,"2017-11-30",1,0.666666666666667
"SD","wdi_vc_btl_deth",7.3030204425176e-05,"2017-11-30",1,0.333333333333333
"SD","ged_count_sb",0.00484943009231901,"2017-11-30",3,1
"SD","ged_dummy_sb",0.0531963354843529,"2017-11-30",3,0.25
"SD","acled_count_sb",0.0015660265799208,"2017-11-30",3,0.75
"SD","wdi_vc_btl_deth",0.000119731909151523,"2017-11-30",3,0.5
"SD","ged_count_sb",1.02107733728438e-17,"2017-11-30",6,NA
"SD","ged_count_sb",1.01654380721399e-17,"2017-11-30",7,NA
"SD","wdi_vc_btl_deth",8.74891601170343e-05,"2017-12-31",2,NA
"SD","ged_count_sb",1.01843380574587e-17,"2017-12-31",7,NA
"SD","ged_count_sb",0.0042295526600561,"2018-01-31",1,0.666666666666667
"SD","acled_count_sb",0.00116651458979775,"2018-01-31",1,1
"SD","wdi_vc_btl_deth",8.33510505887372e-05,"2018-01-31",1,0.333333333333333
"SD","ged_count_sb",0.000671656975159349,"2018-01-31",2,1
"SD","wdi_vc_btl_deth",0.000125383496672461,"2018-01-31",2,0.5
"SD","ged_count_sb",0.00775467399138365,"2018-01-31",3,1
"SD","acled_count_sb",0.00308414943173117,"2018-01-31",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.000156975554713106,"2018-01-31",3,0.333333333333333
"SD","ged_count_sb",0.000336159755628606,"2018-01-31",4,1
"SD","wdi_vc_btl_deth",6.58102723368026e-05,"2018-01-31",4,0.5
"SD","ged_count_sb",2.05317155306472e-17,"2018-01-31",7,NA
"SD","ged_count_sb",4.69446441224908e-06,"2018-02-28",1,1
"SD","wdi_vc_btl_deth",4.99886462188695e-05,"2018-02-28",1,0.5
"SD","ged_count_sb",0.00510065525381613,"2018-02-28",2,1
"SD","acled_count_sb",0.00125800656388379,"2018-02-28",2,0.666666666666667
"SD","wdi_vc_btl_deth",0.000170736339312696,"2018-02-28",2,0.333333333333333
"SD","ged_count_sb",0.00599246139199192,"2018-02-28",3,1
"SD","acled_count_sb",0.00181334802322992,"2018-02-28",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.000139755743898557,"2018-02-28",3,0.333333333333333
"SD","ged_count_sb",0.00702019875312032,"2018-03-31",1,0.666666666666667
"SD","acled_count_sb",0.00449198764845898,"2018-03-31",1,1
"SD","wdi_vc_btl_deth",0.000124721058697105,"2018-03-31",1,0.333333333333333
"SD","wdi_vc_btl_deth",9.70530355445405e-05,"2018-03-31",2,NA
"SD","ged_count_sb",0.00281380103958916,"2018-03-31",3,1
"SD","wdi_vc_btl_deth",0.000113884580216884,"2018-03-31",3,0.5
"SD","ged_count_sb",0.00596456743497369,"2018-03-31",4,1
"SD","acled_count_sb",0.00148876465274986,"2018-03-31",4,0.666666666666667
"SD","wdi_vc_btl_deth",0.000146285038321663,"2018-03-31",4,0.333333333333333
"SD","ged_count_sb",0.00740204401904884,"2018-04-30",1,0.666666666666667
"SD","acled_count_sb",0.00454795321925104,"2018-04-30",1,1
"SD","wdi_vc_btl_deth",0.000108222778086023,"2018-04-30",1,0.333333333333333
"SD","ged_count_sb",0.00209507828655852,"2018-04-30",2,1
"SD","acled_count_sb",0.000520200541786423,"2018-04-30",2,0.666666666666667
"SD","wdi_vc_btl_deth",0.000172972744254403,"2018-04-30",2,0.333333333333333
"SD","ged_count_sb",0.00620001225163704,"2018-04-30",3,1
"SD","acled_count_sb",0.00221424111253082,"2018-04-30",3,0.666666666666667
"SD","wdi_vc_btl_deth",0.000148897679918974,"2018-04-30",3,0.333333333333333
"SD","ged_count_sb",0.00498328391461523,"2018-04-30",5,1
"SD","wdi_vc_btl_deth",0.000159392355222542,"2018-04-30",5,0.5
"SD","ged_count_sb",0.00183719755686663,"2018-05-31",1,1
"SD","acled_count_sb",6.60491143236335e-05,"2018-05-31",1,0.666666666666667
