"country","coef","value","date","step","rank"
"SN","eq_threaten",4.0245741052441e-17,"2014-01-31",6,NA
"SN","eq_threaten",2.028267893853e-17,"2014-02-28",3,NA
"SN","eq_threaten",2.01350401040947e-17,"2014-02-28",7,NA
"SN","e_threaten",1.2138534921287e-16,"2014-04-30",1,NA
"SN","eq_threaten",2.00453615621373e-17,"2014-04-30",4,NA
"SN","e_threaten",6.01986922967192e-17,"2014-04-30",5,NA
"SN","e_threaten",1.21535620722548e-16,"2014-05-31",3,NA
"SN","e_threaten",6.01058270559376e-17,"2014-05-31",4,0.5
"SN","eq_threaten",2.00352756853126e-17,"2014-05-31",4,1
"SN","e_threaten",6.0264254356006e-17,"2014-06-30",7,NA
"SN","e_threaten",1.21199217434634e-16,"2014-08-31",1,NA
"SN","e_threaten",1.2138534921287e-16,"2014-08-31",3,NA
"SN","e_threaten",6.01986922967192e-17,"2014-08-31",7,NA
"SN","e_threaten",6.05775106752099e-17,"2014-09-30",1,0.5
"SN","eq_threaten",2.01925035584033e-17,"2014-09-30",1,1
"SN","e_threaten",1.21199217434634e-16,"2014-10-31",2,NA
"SN","e_threaten",1.1992823418917e-16,"2014-10-31",4,NA
"SN","eq_threaten",2.00352756853126e-17,"2014-11-30",7,NA
"SN","e_threaten",1.21027603964305e-16,"2014-12-31",1,NA
"SN","eq_threaten",1.99705110845052e-17,"2014-12-31",4,NA
"SN","e_threaten",5.99641170945848e-17,"2014-12-31",5,NA
"SN","e_threaten",1.20986771885526e-16,"2015-01-31",1,NA
"SN","e_threaten",1.20094580171809e-16,"2015-01-31",7,NA
"SN","e_threaten",1.19722157563218e-16,"2015-02-28",4,NA
"SN","eq_threaten",4.03024761378963e-17,"2015-03-31",1,NA
"SN","e_threaten",1.19673220056796e-16,"2015-03-31",4,NA
"SN","e_threaten",1.20868873455564e-16,"2015-04-30",1,NA
"SN","e_threaten",1.20946720768451e-16,"2015-04-30",2,NA
"SN","e_threaten",1.21027603964305e-16,"2015-04-30",3,NA
"SN","e_threaten",1.19722157563218e-16,"2015-04-30",5,NA
"SN","eq_threaten",3.99410221690104e-17,"2015-04-30",6,NA
"SN","eq_threaten",2.01512380689482e-17,"2015-05-31",2,NA
"SN","e_threaten",1.20986771885526e-16,"2015-05-31",3,NA
"SN","e_threaten",1.19673220056796e-16,"2015-05-31",5,0.5
"SN","eq_threaten",1.99455366761327e-17,"2015-05-31",5,1
"SN","e_threaten",5.98860480164529e-17,"2015-05-31",6,NA
"SN","e_threaten",1.20793894204516e-16,"2015-06-30",1,NA
"SN","e_threaten",1.19722157563218e-16,"2015-06-30",6,NA
"SN","eq_threaten",1.99144834578534e-17,"2015-07-31",4,NA
"SN","e_threaten",1.19673220056796e-16,"2015-07-31",6,NA
"SN","e_threaten",1.20721627342875e-16,"2015-08-31",1,NA
"SN","e_threaten",5.96781606968444e-17,"2015-10-31",4,NA
"SN","e_threaten",1.19442543545454e-16,"2015-10-31",5,NA
"SN","e_threaten",5.96572050919384e-17,"2015-11-30",4,NA
"SN","eq_threaten",1.99144834578534e-17,"2015-11-30",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.35133933955612e-18,"2016-01-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.36292174982907e-18,"2016-01-31",3,NA
"SN","eq_threaten",3.98289669157068e-17,"2016-01-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.351680174855e-18,"2016-02-29",1,NA
"SN","e_threaten",1.7916381531818e-16,"2016-02-29",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.35861603546076e-18,"2016-03-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.73047306509491e-18,"2016-03-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",2.71598659263964e-18,"2016-04-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.70499006232372e-18,"2016-04-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",2.74461390298678e-18,"2016-04-30",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.35267148750536e-18,"2016-05-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.36415146063447e-18,"2016-05-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",2.74494698137473e-18,"2016-05-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.35299192090143e-18,"2016-06-30",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.35295974213782e-18,"2016-06-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.37263719810464e-18,"2016-06-30",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.35330754014341e-18,"2016-07-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",2.70637313603087e-18,"2016-07-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.3594673613885e-18,"2016-07-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.74559629073119e-18,"2016-07-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.35361845293852e-18,"2016-08-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.35921936258999e-18,"2016-08-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",1.36502379461976e-18,"2016-08-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",2.71934330374235e-18,"2016-08-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.70725918478401e-18,"2016-09-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",2.7462240680478e-18,"2016-09-30",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.3538459555956e-18,"2016-10-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",2.72014110082583e-18,"2016-10-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.73342408114373e-18,"2016-11-30",6,NA
"SN","wdi_sh_sta_mmrt_ne",2.73376663381561e-18,"2016-12-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",2.74712764761406e-18,"2016-12-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.35447538510304e-18,"2017-01-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",2.74741917343171e-18,"2017-01-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.36092489792986e-18,"2017-02-28",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.72166338782834e-18,"2017-02-28",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.74770605796116e-18,"2017-02-28",7,NA
"SN","wdi_sh_sta_mmrt_ne",2.71134293602142e-18,"2017-03-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.36119480744088e-18,"2017-03-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.73381970823343e-18,"2017-03-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.35487935467141e-18,"2017-03-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.36101474985152e-18,"2017-03-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.73476245503629e-18,"2017-03-31",6,NA
"SN","wdi_sg_dmk_alld_fn_zs",2.00918596348183e-17,"2017-04-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.35507685301539e-18,"2017-04-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.36119504468641e-18,"2017-04-30",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.35622115897429e-18,"2017-05-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",2.72274528085199e-18,"2017-05-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.37426997319934e-18,"2017-05-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",2.72396335631919e-18,"2017-06-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.71092640835788e-18,"2017-06-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",2.71351139899111e-18,"2017-07-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",2.72343994700159e-18,"2017-07-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.74907459229035e-18,"2017-07-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.37466791116809e-18,"2017-08-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",2.72547184222487e-18,"2017-09-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",1.36837874264188e-18,"2017-09-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",2.7366214356401e-18,"2017-09-30",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.35753044586506e-18,"2017-10-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",5.42481216248554e-18,"2017-10-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.36222217765749e-18,"2017-10-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.36845766614999e-18,"2017-10-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.37492327630998e-18,"2017-10-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",2.73768243862626e-18,"2017-11-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.36906768197655e-18,"2017-12-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",2.71311488977697e-18,"2017-12-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.35827443442485e-18,"2018-01-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",4.07019287100419e-18,"2018-01-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.36888583566353e-18,"2018-01-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.36951138030559e-18,"2018-02-28",3,NA
"SN","wdi_sh_sta_mmrt_ne",2.72571782573818e-18,"2018-02-28",5,NA
"SN","wdi_sh_sta_mmrt_ne",2.73804896891096e-18,"2018-02-28",6,NA
"SN","wdi_sh_sta_mmrt_ne",2.75082348050871e-18,"2018-02-28",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.36972874045794e-18,"2018-03-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.35707085383351e-18,"2018-03-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",2.72602510799798e-18,"2018-03-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.36994318814588e-18,"2018-04-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.36460234909923e-18,"2018-05-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.71890176206254e-18,"2018-06-30",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.36482199171344e-18,"2018-06-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.71512719571347e-18,"2018-06-30",4,NA
