"country","coef","value","date","step","rank"
"SN","wdi_sh_sta_maln_fe_zs",2.97575049209452e-17,"2014-01-31",1,NA
"SN","wdi_sh_sta_maln_fe_zs",2.99513480924622e-17,"2014-01-31",2,NA
"SN","wdi_sh_sta_maln_fe_zs",5.98857268135204e-17,"2014-02-28",2,NA
"SN","wdi_sh_sta_maln_fe_zs",3.01451706827784e-17,"2014-02-28",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.99522472281516e-18,"2014-03-31",1,NA
"SN","wdi_sh_sta_maln_fe_zs",2.99345616593745e-17,"2014-03-31",2,NA
"SN","wdi_sh_sta_maln_fe_zs",6.02699601016716e-17,"2014-03-31",3,NA
"SN","wdi_sh_sta_maln_ma_zs",3.4123385483968e-17,"2014-03-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",2.0209201178819e-18,"2014-06-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.9723547743815e-18,"2014-06-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.00280022258729e-18,"2014-08-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",2.01937926143031e-18,"2014-08-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.92509199279573e-19,"2014-08-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.00931636677935e-18,"2014-09-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.99534277584763e-19,"2014-09-30",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.00895074358996e-18,"2014-10-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.95247676706711e-19,"2014-12-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",9.83317871293873e-19,"2015-01-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.97392033049078e-19,"2015-01-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.00500107054689e-18,"2015-01-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.94776819826835e-19,"2015-02-28",1,NA
"SN","wdi_sh_sta_mmrt_ne",9.96884342308628e-19,"2015-02-28",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.00441638118195e-18,"2015-02-28",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.00722942982794e-18,"2015-03-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.96387110753002e-19,"2015-03-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",1.00384403824343e-18,"2015-03-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.88885537705138e-19,"2015-04-30",5,NA
"SN","wdi_sh_sta_mmrt_ne",9.95900018479727e-19,"2015-04-30",6,NA
"SN","wdi_sh_sta_mmrt_ne",9.95422758500102e-19,"2015-05-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",9.93886566054114e-19,"2015-06-30",1,NA
"SN","wdi_sh_sta_mmrt_ne",9.99939843930001e-19,"2015-06-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",9.88068081038036e-19,"2015-06-30",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.0056679449051e-18,"2015-08-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.99182406177414e-19,"2015-09-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",9.86900058666898e-19,"2015-09-30",5,NA
"SN","wdi_sh_sta_mmrt_ne",9.80182519891709e-19,"2015-10-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.86525353428618e-19,"2015-10-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",1.00479876487457e-18,"2015-11-30",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.95973181077192e-18,"2015-11-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.99666494242578e-19,"2015-11-30",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.99189615859446e-19,"2015-12-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.98234070811348e-19,"2016-01-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",9.79249684193211e-19,"2016-01-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.85442335419232e-19,"2016-01-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",9.9192558661659e-19,"2016-01-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",9.92287450268614e-19,"2016-02-29",1,NA
"SN","wdi_sh_sta_mmrt_ne",9.98007224288129e-19,"2016-02-29",2,NA
"SN","wdi_sh_sta_mmrt_ne",9.98262925430019e-19,"2016-02-29",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.97784262412558e-19,"2016-03-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",1.00371059138275e-18,"2016-03-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",1.98226289151022e-18,"2016-03-31",6,NA
"SN","wdi_sh_sta_mmrt_ne",9.97812606121368e-19,"2016-03-31",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.9192104736908e-19,"2016-04-30",1,NA
"SN","wdi_sh_sta_mmrt_ne",9.97565086287896e-19,"2016-04-30",2,NA
"SN","wdi_sh_sta_mmrt_ne",9.97370648272534e-19,"2016-04-30",7,NA
"SN","wdi_sh_sta_mmrt_ne",9.91742396643644e-19,"2016-05-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",1.00319448142652e-18,"2016-05-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.78081157342866e-19,"2016-05-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.77801542691527e-19,"2016-06-30",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.9651090242669e-19,"2016-06-30",7,NA
"SN","wdi_sh_sta_mmrt_ne",1.98278765239355e-18,"2016-07-31",1,NA
"SN","wdi_sh_sta_mmrt_ne",9.77526679642676e-19,"2016-07-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",9.96724374961191e-19,"2016-08-31",2,NA
"SN","wdi_sh_sta_mmrt_ne",1.00245265846574e-18,"2016-08-31",3,NA
"SN","wdi_sh_sta_mmrt_ne",9.7725644810979e-19,"2016-08-31",4,NA
"SN","wdi_sh_sta_mmrt_ne",1.96626475520438e-18,"2016-08-31",5,NA
"SN","wdi_sh_sta_mmrt_ne",9.76990732018739e-19,"2016-09-30",4,NA
