"country","coef","value","date","step","rank"
"SS","icgcw_deteriorated",2.52983126395302e-16,"2014-02-28",7,NA
"SS","ged_count_sb",1.92439746311798e-17,"2014-04-30",2,NA
"SS","ged_count_sb",3.85463215287254e-17,"2014-05-31",3,NA
"SS","ged_count_sb",1.90581537217447e-17,"2014-06-30",3,NA
"SS","ged_count_sb",0.0147220763915758,"2014-07-31",3,1
"SS","wdi_nv_ind_totl_kd_zg",0.00548574869913582,"2014-07-31",3,0.5
"SS","icgcw_alerts",7.70371304083991e-16,"2014-07-31",4,NA
"SS","icgcw_alerts",4.50739900188513e-16,"2014-07-31",5,NA
"SS","ged_count_sb",1.86291604891149e-17,"2014-07-31",6,NA
"SS","ged_count_sb",0.00794543131545677,"2014-08-31",4,0.666666666666667
"SS","acled_count_sb",0.00152681620519681,"2014-08-31",4,1
"SS","wdi_nv_ind_totl_kd_zg",0.00504682737182176,"2014-08-31",4,0.333333333333333
"SS","icgcw_alerts",4.43025016045165e-16,"2014-08-31",6,NA
"SS","icgcw_alerts",7.46855966849084e-16,"2014-10-31",7,NA
"SS","icgcw_alerts",4.13056171631869e-16,"2014-12-31",6,NA
"SS","wdi_nv_ind_totl_kd_zg",3.67148450517135e-18,"2015-01-31",4,NA
"SS","icgcw_alerts",4.08743534594162e-16,"2015-01-31",7,NA
"SS","wdi_nv_ind_totl_kd_zg",3.51825599042476e-18,"2015-02-28",4,NA
"SS","wdi_vc_pkp_totl_un",7.66330430257699e-20,"2015-03-31",7,NA
"SS","wdi_tx_val_fuel_zs_un",1.02992472132675e-17,"2015-04-30",7,NA
"SS","wdi_ag_yld_crel_kg",5.20607979724773e-19,"2015-07-31",7,NA
"SS","wdi_vc_pkp_totl_un",6.06850340000978e-20,"2015-08-31",5,NA
"SS","wdi_vc_pkp_totl_un",1.16376334560374e-19,"2015-09-30",5,NA
"SS","wdi_ag_yld_crel_kg",4.45634376793964e-19,"2015-10-31",5,NA
"SS","wdi_sm_pop_refg_or",4.63669444940012e-22,"2015-10-31",6,NA
"SS","wdi_ms_mil_mprt_kd",9.40606048781882e-24,"2016-03-31",7,NA
