"country","coef","value","date","step","rank"
"SS","icgcw_deteriorated",1.82423239638252e-16,"2014-02-28",7,NA
"SS","ged_count_sb",1.37288068958857e-17,"2014-04-30",2,NA
"SS","ged_count_sb",1.3740020978149e-17,"2014-05-31",3,NA
"SS","ged_count_sb",1.33448543376748e-17,"2014-06-30",3,NA
"SS","icgcw_alerts",3.07697740605588e-16,"2014-07-31",2,NA
"SS","ged_count_sb",0.00990870420901976,"2014-07-31",3,1
"SS","wdi_nv_ind_totl_kd_zg",0.00262978416239032,"2014-07-31",3,0.666666666666667
"SS","wdi_vc_idp_nwcv",1.33258679861474e-08,"2014-07-31",3,0.333333333333333
"SS","icgcw_alerts",2.66143991789245e-16,"2014-07-31",4,NA
"SS","icgcw_alerts",6.31892925004082e-16,"2014-07-31",5,NA
"SS","ged_count_sb",1.3842639474879e-17,"2014-07-31",6,NA
"SS","ged_count_sb",0.00580529565400885,"2014-08-31",4,0.916666666666667
"SS","acled_count_sb",0.00186862265597717,"2014-08-31",4,1
"SS","wdi_ag_lnd_totl_ru_k2",1.53261190162074e-08,"2014-08-31",4,0.666666666666667
"SS","wdi_dt_dod_pvlx_gn_zs",0.00149274831835238,"2014-08-31",4,0.416666666666667
"SS","wdi_nv_ind_totl_kd_zg",0.00142717443346968,"2014-08-31",4,0.833333333333333
"SS","wdi_ny_adj_nnty_kd_zg",8.02032825699993e-05,"2014-08-31",4,0.0833333333333333
"SS","wdi_sg_vaw_argu_zs",0.000708157163857116,"2014-08-31",4,0.333333333333333
"SS","wdi_sh_sta_traf_p5",0.0205940392668596,"2014-08-31",4,0.5
"SS","wdi_vc_idp_nwcv",7.87470354138257e-08,"2014-08-31",4,0.75
"SS","wdi_vc_idp_tocv",1.40103601827845e-08,"2014-08-31",4,0.583333333333333
"SS","vdem_v2xpe_exlgeo",0.106433914321128,"2014-08-31",4,0.25
"SS","vdem_v2xpe_exlpol",0.0264673939845035,"2014-08-31",4,0.166666666666667
"SS","icgcw_alerts",3.06320552394834e-16,"2014-08-31",6,NA
"SS","icgcw_alerts",2.95059407619193e-16,"2014-10-31",5,NA
"SS","icgcw_alerts",5.05498103050812e-16,"2014-10-31",7,NA
"SS","icgcw_alerts",2.9255863307136e-16,"2014-12-31",6,NA
"SS","wdi_nv_ind_totl_kd_zg",2.44183343547679e-18,"2015-01-31",4,NA
"SS","icgcw_alerts",2.90303292375059e-16,"2015-01-31",7,NA
"SS","wdi_nv_ind_totl_kd_zg",2.39031758614625e-18,"2015-02-28",4,NA
"SS","wdi_nv_ind_totl_kd_zg",2.30230553651998e-18,"2015-03-31",4,NA
"SS","wdi_vc_pkp_totl_un",5.16347615903033e-20,"2015-03-31",7,NA
"SS","wdi_tx_val_fuel_zs_un",6.786462346319e-18,"2015-04-30",7,NA
"SS","wdi_ag_yld_crel_kg",3.39771297881536e-19,"2015-07-31",5,NA
"SS","wdi_ag_yld_crel_kg",7.29000949040437e-19,"2015-07-31",7,NA
"SS","wdi_vc_pkp_totl_un",4.14190722043507e-20,"2015-08-31",5,NA
"SS","wdi_vc_pkp_totl_un",7.91444607788349e-20,"2015-09-30",5,NA
"SS","wdi_ag_yld_crel_kg",3.04811507964203e-19,"2015-10-31",5,NA
"SS","wdi_sm_pop_refg_or",3.10476304373309e-22,"2015-10-31",6,NA
"SS","wdi_ms_mil_mprt_kd",6.71775121443269e-24,"2016-04-30",7,NA
"SS","wdi_ny_adj_nnty_kd_zg",3.17876456569651e-18,"2016-05-31",5,NA
"SS","wdi_dt_oda_odat_pc_zs",5.80870075233699e-18,"2016-07-31",6,NA
"SS","wdi_nv_ind_totl_kd_zg",2.5865691102741e-18,"2016-08-31",3,NA
"SS","wdi_dt_oda_odat_pc_zs",5.89226116345351e-18,"2016-08-31",6,NA
"SS","wdi_ms_mil_mprt_kd",6.95649036510425e-24,"2016-08-31",7,NA
"SS","wdi_dt_oda_odat_pc_zs",5.89408497749786e-18,"2016-10-31",6,NA
"SS","wdi_dt_oda_odat_pc_zs",2.95729184585654e-18,"2016-11-30",6,NA
"SS","icgcw_alerts",2.79256991989516e-16,"2017-01-31",1,NA
"SS","icgcw_alerts",2.76903855711947e-16,"2017-01-31",2,NA
"SS","icgcw_alerts",2.77233490883598e-16,"2017-02-28",3,NA
"SS","icgcw_alerts",2.66758785951767e-16,"2017-02-28",5,NA
"SS","wdi_dt_oda_odat_pc_zs",3.56987442717565e-18,"2017-02-28",7,NA
"SS","icgcw_alerts",5.54405172187471e-16,"2017-03-31",3,NA
"SS","acled_count_pr",5.81386641564487e-17,"2017-03-31",7,NA
"SS","icgcw_alerts",2.80313528891517e-16,"2017-04-30",1,NA
"SS","icgcw_alerts",2.62868304512907e-16,"2017-04-30",7,NA
"SS","icgcw_alerts",2.7776979122766e-16,"2017-05-31",3,NA
"SS","acled_count_pr",2.94153430549915e-17,"2017-06-30",5,NA
"SS","acled_count_pr",2.940631251457e-17,"2017-07-31",3,NA
"SS","acled_count_pr",2.9361147735315e-17,"2017-07-31",5,NA
"SS","wdi_sh_mmr_risk_zs",8.78027596445227e-16,"2017-08-31",1,NA
"SS","icgcw_alerts",2.83042218456929e-16,"2017-08-31",3,NA
"SS","acled_count_pr",2.91968759038392e-17,"2017-08-31",6,NA
"SS","wdi_sh_mmr_risk_zs",8.62091416641674e-16,"2017-10-31",1,NA
"SS","acled_count_pr",2.9081425293597e-17,"2017-10-31",4,NA
"SS","acled_count_pr",2.89517604251271e-17,"2017-10-31",5,NA
"SS","wdi_sh_mmr_risk_zs",1.69699190255744e-15,"2017-12-31",1,NA
"SS","wdi_ny_adj_nnty_kd_zg",3.6572575910651e-18,"2017-12-31",5,NA
"SS","wdi_ny_adj_nnty_kd_zg",3.66366559352682e-18,"2018-01-31",4,NA
"SS","wdi_ny_adj_nnty_kd_zg",3.66382093629939e-18,"2018-02-28",4,NA
"SS","wdi_ny_adj_nnty_kd_zg",7.32665765009378e-18,"2018-02-28",5,NA
"SS","wdi_sh_mmr_risk_zs",8.28439329237517e-16,"2018-03-31",1,NA
"SS","wdi_sh_sta_mmrt",2.41274148540658e-18,"2018-03-31",4,NA
"SS","wdi_ny_adj_nnty_kd_zg",3.66375309346201e-18,"2018-03-31",5,NA
"SS","vdem_v2xpe_exlecon",1.8502455008043e-15,"2018-03-31",6,NA
"SS","wdi_sh_mmr_risk_zs",8.25153746242258e-16,"2018-04-30",2,NA
"SS","wdi_sh_mmr_risk_zs",1.63924773450503e-15,"2018-05-31",1,NA
"SS","wdi_sh_mmr_risk_zs",8.20689702917481e-16,"2018-05-31",2,NA
"SS","wdi_sh_mmr_risk_zs",8.17487437335549e-16,"2018-06-30",1,NA
"SS","wdi_sh_mmr_risk_zs",8.16377077214687e-16,"2018-06-30",2,NA
"SS","wdi_sh_sta_mmrt",2.36459387985033e-18,"2018-06-30",5,NA
"SS","wdi_sh_mmr_risk_zs",8.10217981293936e-16,"2018-08-31",1,NA
"SS","wdi_sh_sta_mmrt",2.32436510089897e-18,"2018-08-31",5,NA
"SS","wdi_sh_sta_mmrt",2.37616994400874e-18,"2018-08-31",7,NA
"SS","wdi_sh_mmr_risk_zs",1.60769756775164e-15,"2018-10-31",1,NA
"SS","wdi_sh_mmr_risk_zs",8.06114556675346e-16,"2018-10-31",3,NA
"SS","wdi_sh_sta_mmrt",4.60021045146405e-18,"2018-10-31",6,NA
"SS","wdi_sh_mmr_risk_zs",1.61056549961949e-15,"2018-11-30",1,NA
"SS","wdi_sh_mmr_risk_zs",8.0416583723897e-16,"2018-11-30",3,NA
"SS","wdi_sh_sta_mmrt",2.26225255700983e-18,"2018-11-30",4,NA
"SS","wdi_sh_sta_mmrt",2.31958158294912e-18,"2018-11-30",7,NA
"SS","wdi_sh_mmr_risk_zs",8.22768771869579e-16,"2018-12-31",1,NA
"SS","wdi_sh_sta_mmrt",4.50867149890876e-18,"2018-12-31",4,NA
"SS","wdi_sh_sta_mmrt",2.26369468723287e-18,"2019-01-31",6,NA
"SS","wdi_sh_sta_mmrt",2.24495930307574e-18,"2019-02-28",5,NA
"SS","wdi_sh_sta_mmrt",2.29059863031509e-18,"2019-03-31",4,NA
"SS","wdi_sh_sta_mmrt",2.27649545938856e-18,"2019-04-30",4,NA
"SS","wdi_sh_sta_mmrt",2.29674012146877e-18,"2019-04-30",5,NA
"SS","wdi_sh_sta_mmrt",2.26382866115188e-18,"2019-05-31",4,NA
"SS","wdi_sh_sta_mmrt",2.26319451459122e-18,"2019-05-31",7,NA
"SS","wdi_sh_sta_mmrt",2.27024278096532e-18,"2019-06-30",5,NA
"SS","wdi_sh_sta_mmrt",2.26579677374267e-18,"2019-07-31",6,NA
"SS","wdi_sh_sta_mmrt",2.25292493638213e-18,"2019-08-31",6,NA
"SS","wdi_sh_sta_mmrt",2.27591047312107e-18,"2019-09-30",7,NA
