"country","coef","value","date","step","rank"
"TN","wdi_vc_idp_nwds",8.91245017077082e-19,"2016-06-30",1,NA
"TN","wdi_ic_crd_info_xq",1.77540428446265e-16,"2016-06-30",3,NA
"TN","wdi_vc_idp_nwds",4.97496790046495e-19,"2016-07-31",3,NA
"TN","wdi_vc_idp_nwds",2.02598917144684e-19,"2016-08-31",2,NA
"TN","wdi_vc_idp_nwds",4.97635445643034e-19,"2016-08-31",4,NA
"TN","wdi_vc_idp_nwds",2.02657089247548e-19,"2016-09-30",3,NA
"TN","wdi_ic_bus_dfrn_xq",7.28179137441907e-16,"2016-09-30",6,NA
"TN","wdi_vc_idp_nwds",1.75003392283457e-19,"2016-10-31",2,NA
"TN","m_coerce",5.15755585933621e-18,"2016-11-30",1,NA
"TN","m_coerce",1.03352364550403e-17,"2016-11-30",2,NA
"TN","wdi_vc_idp_nwds",3.7463012408018e-19,"2016-11-30",4,NA
"TN","wdi_vc_idp_nwds",8.92482176302543e-19,"2016-11-30",6,NA
"TN","wdi_vc_idp_nwds",4.98064111239805e-19,"2016-11-30",7,NA
"TN","m_coerce",1.03309640739604e-17,"2016-12-31",2,NA
"TN","wdi_vc_idp_nwds",5.25350429967869e-19,"2016-12-31",4,NA
"TN","wdi_vc_idp_nwds",3.7474719574996e-19,"2016-12-31",5,NA
"TN","m_coerce",1.05520426375693e-17,"2017-01-31",1,NA
"TN","m_coerce",5.17355226050036e-18,"2017-01-31",3,NA
"TN","m_coerce",1.03680883518496e-17,"2017-01-31",4,NA
"TN","wdi_vc_idp_nwds",1.75174780065015e-19,"2017-01-31",5,NA
"TN","m_coerce",5.28378747883388e-18,"2017-02-28",2,NA
"TN","m_coerce",5.18177052293995e-18,"2017-02-28",4,NA
"TN","wdi_vc_idp_nwds",1.75233616088392e-19,"2017-02-28",6,NA
"TN","m_coerce",1.05303530596875e-17,"2017-03-31",2,NA
"TN","m_coerce",5.29169226047791e-18,"2017-03-31",3,NA
"TN","m_coerce",1.08047541279854e-17,"2017-04-30",1,NA
"TN","m_coerce",1.08188740863366e-17,"2017-05-31",2,NA
"TN","m_coerce",5.28063548255775e-18,"2017-05-31",4,NA
"TN","m_coerce",1.04066759097722e-17,"2017-05-31",7,NA
"TN","m_coerce",5.36118150662998e-18,"2017-06-30",2,NA
"TN","wdi_vc_idp_nwds",1.53840120409711e-19,"2017-06-30",7,NA
"TN","m_coerce",5.22489641613198e-18,"2017-07-31",1,NA
"TN","m_coerce",5.30177327588484e-18,"2017-07-31",2,NA
"TN","m_coerce",1.06415122083589e-17,"2017-07-31",7,NA
"TN","m_coerce",5.14308388455483e-18,"2017-08-31",1,NA
"TN","m_coerce",5.37479181899003e-18,"2017-08-31",4,NA
"TN","m_coerce",1.0861440394612e-17,"2017-08-31",5,NA
"TN","m_coerce",1.01003819951159e-17,"2017-09-30",1,NA
