"country","coef","value","date","step","rank"
"TN","wdi_per_si_allsi_cov_pop_tot",3.21755686177818e-18,"2015-09-30",1,NA
"TN","wdi_per_si_allsi_cov_pop_tot",6.73933256016974e-18,"2015-10-31",3,NA
"TN","wdi_per_si_allsi_cov_pop_tot",7.10902494916415e-18,"2015-11-30",5,NA
"TN","wdi_per_si_allsi_cov_pop_tot",2.98223463579127e-18,"2015-12-31",2,NA
"TN","wdi_per_si_allsi_cov_pop_tot",3.09188364434406e-18,"2015-12-31",3,NA
"TN","wdi_per_si_allsi_cov_pop_tot",6.43889107398678e-18,"2015-12-31",4,NA
"TN","wdi_per_si_allsi_cov_pop_tot",2.98301340953518e-18,"2016-01-31",3,NA
"TN","wdi_per_si_allsi_cov_pop_tot",5.45827844860286e-18,"2016-03-31",2,NA
"TN","wdi_per_si_allsi_cov_pop_tot",2.98460704440518e-18,"2016-03-31",5,NA
"TN","wdi_per_si_allsi_cov_pop_tot",2.66318252637112e-18,"2016-05-31",3,NA
"TN","wdi_per_si_allsi_cov_pop_tot",2.98625068325972e-18,"2016-05-31",7,NA
"TN","wdi_vc_idp_nwds",1.36627849337636e-19,"2016-07-31",1,NA
"TN","wdi_per_si_allsi_cov_pop_tot",2.66526650507071e-18,"2016-07-31",5,NA
"TN","wdi_per_si_allsi_cov_pop_tot",5.46617089301192e-18,"2016-07-31",6,NA
"TN","wdi_vc_idp_nwds",1.36674052559285e-19,"2016-08-31",2,NA
"TN","wdi_ic_crd_info_xq",1.06982063328045e-16,"2016-08-31",5,NA
"TN","wdi_vc_idp_nwds",3.24341250409853e-19,"2016-09-30",5,NA
"TN","wdi_ic_bus_dfrn_xq",2.19396630409743e-16,"2016-09-30",6,0.5
"TN","wdi_per_si_allsi_cov_q1_tot",8.97370266303736e-17,"2016-09-30",6,1
"TN","wdi_vc_idp_nwds",1.19336415840212e-19,"2016-10-31",1,NA
"TN","wdi_vc_idp_nwds",2.48379430178524e-19,"2016-10-31",2,NA
"TN","wdi_vc_idp_nwds",1.15188623720579e-19,"2016-11-30",1,NA
"TN","wdi_vc_idp_nwds",2.59895843119072e-19,"2016-11-30",4,NA
"TN","wdi_vc_idp_nwds",3.28477051508366e-19,"2016-12-31",1,NA
"TN","wdi_vc_idp_nwds",2.38874700088451e-19,"2016-12-31",3,NA
"TN","wdi_vc_idp_nwds",2.59994994617168e-19,"2016-12-31",5,NA
"TN","wdi_vc_idp_nwds",2.73731602647463e-19,"2016-12-31",6,NA
"TN","wdi_vc_idp_nwds",2.13002649028465e-19,"2017-01-31",1,NA
"TN","wdi_vc_idp_nwds",2.38977861298238e-19,"2017-01-31",4,NA
"TN","wdi_vc_idp_nwds",1.24340340885652e-19,"2017-01-31",5,NA
"TN","wdi_vc_idp_nwds",1.30047815794813e-19,"2017-01-31",6,NA
"TN","wdi_vc_idp_nwds",1.06552831082481e-19,"2017-02-28",2,NA
"TN","wdi_vc_idp_nwds",2.13210173130269e-19,"2017-03-31",3,NA
"TN","wdi_vc_idp_nwds",2.39188804041747e-19,"2017-03-31",6,NA
"TN","wdi_vc_idp_nwds",3.73333621839974e-19,"2017-03-31",7,NA
"TN","m_appeal",9.08979484552878e-18,"2017-04-30",2,NA
"TN","wdi_vc_idp_nwds",1.03928058462279e-19,"2017-04-30",3,NA
"TN","m_appeal",1.82538857149095e-17,"2017-05-31",3,NA
"TN","wdi_ic_bus_dfrn_xq",1.70244104285926e-16,"2017-06-30",1,NA
"TN","wdi_ic_bus_dfrn_xq",5.61591617640442e-17,"2017-07-31",1,NA
"TN","wdi_ic_crd_info_xq",2.67500420538587e-17,"2017-07-31",3,NA
"TN","wdi_vc_idp_nwds",8.61658530708484e-20,"2017-07-31",4,NA
"TN","m_appeal",9.19975480281235e-18,"2017-07-31",5,NA
"TN","wdi_ic_bus_dfrn_xq",1.68548184015872e-16,"2017-08-31",2,NA
"TN","wdi_ic_bus_dfrn_xq",5.67933639857414e-17,"2017-08-31",3,NA
"TN","wdi_vc_idp_nwds",1.72509912034526e-19,"2017-09-30",6,NA
"TN","m_appeal",9.25748593724266e-18,"2017-09-30",7,NA
"TN","wdi_ic_bus_dfrn_xq",5.4561547352514e-17,"2017-10-31",1,NA
"TN","m_appeal",2.82310052565601e-17,"2017-10-31",3,NA
"TN","m_appeal",1.90482485044257e-17,"2017-10-31",4,NA
"TN","m_appeal",9.59660920447003e-18,"2017-10-31",5,NA
"TN","m_appeal",9.63818320632297e-18,"2017-10-31",6,NA
"TN","m_appeal",9.28207629819491e-18,"2017-11-30",3,NA
"TN","m_appeal",1.88910403305507e-17,"2017-11-30",4,NA
