"country","coef","value","date","step","rank"
"TN","wdi_vc_idp_nwds",1.36627849337636e-19,"2016-07-31",1,NA
"TN","wdi_vc_idp_nwds",1.36674052559285e-19,"2016-08-31",2,NA
"TN","wdi_ic_crd_info_xq",1.06982063328045e-16,"2016-08-31",5,NA
"TN","wdi_vc_idp_nwds",3.24341250409853e-19,"2016-09-30",5,NA
"TN","wdi_ic_bus_dfrn_xq",2.19396630409743e-16,"2016-09-30",6,1
"TN","wdi_per_si_allsi_cov_q1_tot",8.97370266303736e-17,"2016-09-30",6,0.5
"TN","m_coerce",7.44317381357131e-18,"2016-10-31",1,NA
"TN","wdi_vc_idp_nwds",2.48379430178524e-19,"2016-10-31",2,NA
"TN","wdi_vc_idp_nwds",2.59895843119072e-19,"2016-11-30",4,NA
"TN","wdi_vc_idp_nwds",3.28477051508366e-19,"2016-12-31",1,NA
"TN","m_coerce",3.72662229812296e-18,"2016-12-31",3,NA
"TN","wdi_vc_idp_nwds",2.59994994617168e-19,"2016-12-31",5,NA
"TN","wdi_vc_idp_nwds",2.73731602647463e-19,"2016-12-31",6,NA
"TN","m_coerce",7.61954560753477e-18,"2017-01-31",1,NA
"TN","wdi_vc_idp_nwds",1.24340340885652e-19,"2017-01-31",5,NA
"TN","wdi_vc_idp_nwds",1.30047815794813e-19,"2017-01-31",6,NA
"TN","m_coerce",1.14150762340645e-17,"2017-03-31",2,NA
"TN","m_coerce",3.81419528809608e-18,"2017-03-31",3,NA
"TN","m_coerce",3.73134718998244e-18,"2017-03-31",5,NA
"TN","wdi_vc_idp_nwds",3.73333621839974e-19,"2017-03-31",7,NA
"TN","m_coerce",3.87430205184644e-18,"2017-04-30",1,NA
"TN","m_coerce",3.81646436785109e-18,"2017-04-30",4,NA
"TN","m_coerce",7.61874453286228e-18,"2017-05-31",4,NA
"TN","m_coerce",3.81849975149751e-18,"2017-05-31",5,NA
"TN","m_coerce",3.73531864425404e-18,"2017-05-31",7,NA
"TN","m_coerce",1.15676643301325e-17,"2017-06-30",2,NA
"TN","m_coerce",3.76013632615196e-18,"2017-08-31",1,NA
"TN","m_coerce",7.71796769378917e-18,"2017-08-31",4,NA
"TN","m_coerce",3.88077626106569e-18,"2017-08-31",5,NA
"TN","m_coerce",7.4332608217322e-18,"2017-09-30",1,NA
"TN","m_coerce",7.52235761509026e-18,"2017-09-30",2,NA
"TN","m_coerce",3.80118639436094e-18,"2017-10-31",4,NA
"TN","m_coerce",3.83432828482523e-18,"2017-10-31",5,NA
"TN","m_disapprove",7.9424497661076e-18,"2017-11-30",2,NA
"TN","m_coerce",3.763314311962e-18,"2017-11-30",4,NA
"TN","m_coerce",7.60448867117886e-18,"2017-11-30",5,NA
"TN","m_disapprove",7.91645948913009e-18,"2017-12-31",1,NA
"TN","m_disapprove",3.96450931504007e-18,"2018-01-31",2,NA
"TN","m_disapprove",3.97444261700178e-18,"2018-01-31",3,NA
"TN","m_coerce",7.60761851350506e-18,"2018-01-31",7,NA
"TN","m_disapprove",3.9507419470849e-18,"2018-02-28",1,NA
"TN","m_coerce",1.12964794715093e-17,"2018-02-28",7,NA
"TN","m_disapprove",7.89327822110394e-18,"2018-03-31",1,NA
"TN","m_disapprove",3.97738823322495e-18,"2018-03-31",4,NA
"TN","m_coerce",1.10109456545912e-17,"2018-03-31",6,NA
"TN","m_coerce",3.72101651436924e-18,"2018-03-31",7,NA
"TN","m_disapprove",7.92620303581103e-18,"2018-04-30",3,NA
"TN","m_disapprove",7.9470674078511e-18,"2018-04-30",4,NA
"TN","m_disapprove",3.98399310003594e-18,"2018-04-30",5,NA
"TN","m_disapprove",3.95884036006425e-18,"2018-05-31",3,NA
"TN","m_disapprove",7.96011589102206e-18,"2018-05-31",5,NA
"TN","m_disapprove",3.99071207940677e-18,"2018-05-31",6,NA
"TN","m_disapprove",4.0014155729561e-18,"2018-05-31",7,NA
"TN","wdi_ic_bus_dfrn_xq",6.49894893454711e-17,"2018-06-30",1,NA
"TN","m_disapprove",7.95175585977614e-18,"2018-06-30",5,NA
"TN","m_coerce",3.1505801770068e-18,"2018-07-31",3,NA
"TN","m_coerce",3.2482739414535e-18,"2018-07-31",4,NA
"TN","m_coerce",6.07857351097589e-18,"2018-09-30",3,NA
"TN","m_coerce",3.07228799543118e-18,"2018-09-30",4,NA
"TN","m_coerce",6.29947628480156e-18,"2018-09-30",5,NA
"TN","m_disapprove",7.96897772264482e-18,"2018-09-30",7,NA
"TN","m_coerce",2.99131257266082e-18,"2018-10-31",2,NA
"TN","m_coerce",6.2984911432656e-18,"2018-10-31",6,NA
"TN","m_coerce",2.95238539609594e-18,"2018-11-30",1,NA
"TN","m_coerce",3.01172602813049e-18,"2018-11-30",4,NA
"TN","m_coerce",5.88613339560035e-18,"2018-12-31",1,NA
"TN","m_coerce",5.94796905559438e-18,"2018-12-31",3,NA
"TN","m_coerce",6.14111616893905e-18,"2018-12-31",7,NA
"TN","m_coerce",5.9024187338857e-18,"2019-01-31",3,NA
"TN","m_coerce",2.98968730819841e-18,"2019-01-31",5,NA
"TN","m_coerce",2.96358776155569e-18,"2019-02-28",1,NA
"TN","m_coerce",5.88379568503986e-18,"2019-02-28",3,NA
"TN","m_coerce",5.90122243580187e-18,"2019-02-28",4,NA
"TN","m_coerce",2.98910473477968e-18,"2019-02-28",6,NA
"TN","m_coerce",1.18450487874589e-17,"2019-03-31",1,NA
"TN","m_coerce",2.93345058450524e-18,"2019-03-31",3,NA
"TN","m_coerce",2.96214430044455e-18,"2019-04-30",3,NA
"TN","m_coerce",2.94936542723209e-18,"2019-04-30",6,NA
"TN","m_coerce",8.91515607346153e-18,"2019-04-30",7,NA
"TN","m_coerce",2.95983518094627e-18,"2019-05-31",3,NA
"TN","m_coerce",2.94872771184694e-18,"2019-05-31",7,NA
"TN","wdi_ic_bus_dfrn_xq",1.93884371651298e-17,"2019-06-30",2,NA
"TN","m_coerce",5.91821929516193e-18,"2019-06-30",4,NA
"TN","m_coerce",5.87889000460198e-18,"2019-06-30",7,NA
"TN","m_coerce",5.91984215263309e-18,"2019-07-31",6,NA
"TN","wdi_ic_bus_dfrn_xq",3.67327804509004e-17,"2019-08-31",3,NA
"TN","wdi_ic_bus_dfrn_xq",5.06890605742244e-17,"2019-09-30",2,NA
"TN","wdi_ic_bus_dfrn_xq",1.76170761731853e-17,"2019-09-30",3,NA
"TN","e_coerce",6.23840835228979e-17,"2019-09-30",6,1
"TN","eq_coerce",1.55960208807245e-17,"2019-09-30",6,0.5
"TN","m_coerce",1.18276312067572e-17,"2019-09-30",7,NA
"TN","wdi_ic_bus_dfrn_xq",7.35460752382704e-17,"2019-10-31",5,NA
"TN","e_coerce",3.120746139647e-17,"2019-10-31",7,0.5
"TN","eq_coerce",7.8018653491175e-18,"2019-10-31",7,1
"TN","wdi_ic_bus_dfrn_xq",1.62731524248018e-17,"2019-11-30",3,NA
"TN","wdi_ic_bus_dfrn_xq",3.67935619619393e-17,"2019-11-30",6,NA
"TN","e_coerce",6.0870772579343e-17,"2019-11-30",7,NA
"TN","wdi_ic_bus_dfrn_xq",1.76451163628334e-17,"2019-12-31",6,NA
"TN","wdi_ic_bus_dfrn_xq",1.84071785548099e-17,"2019-12-31",7,NA
